Title,Link,Salary,Description,Posted Date,Job Type
finance manager (retail),https://www.randstad.com.sg/jobs/finance-manager-retail_singapore_44935210/,"S$6,000 - S$8,000 per month","About the companyOur client is a retail MNC with a strong global presence. Presently, they are seeking a Finance Manager to join their team. About the jobReporting directly to the CFO, you will lead a team of five members and oversee the full spectrum of accounting and finance functions for the Singapore office. Your primary responsibilities will include managing financial reporting, budgeting, forecasting, financial analysis, and ensuring compliance with",posted 7 march 2025,permanent
"assistant manager, financial reporting (reinsurance)",https://www.randstad.com.sg/jobs/assistant-manager-financial-reporting-reinsurance_singapore_44930539/,,"About the companyA newly added headcount due to business expansion, with our client, a leading general reinsurance company. This is an exciting opportunity for a finance professional to support key financial activities and help drive strategic initiatives in a global, fast-paced environment. About the jobPrepare statutory and regulatory reports, ensuring full compliance with relevant guidelines.Collaborate with external auditors to manage the annual audit",posted 6 march 2025,permanent
business manager,https://www.randstad.com.sg/jobs/business-manager_singapore_44930499/,,"about the companyReputable International Bank   about the jobLeadership and Coaching: Mentor and guide Relationship Managers to enhance their sales capabilities, deepen product knowledge, and strengthen client management expertise.Business Development and Growth: Lead initiatives in client acquisition and business expansion to grow the bank's Priority Banking and wealth management portfolios.Performance Management: Deliver regular updates to senior managem",posted 6 march 2025,permanent
senior compliance manager (manufacturing),https://www.randstad.com.sg/jobs/senior-compliance-manager-manufacturing_singapore_44929785/,,"about the companyOur client is an Asian-headquartered manufacturing company with robust operations across the globe. In line with their global strategy to bolster business compliance across offices, they are looking for a Senior Compliance Manager to be based in their Singapore office to oversee the APAC region. about the jobLeading the Compliance function, you will be responsible for shaping and implementing an effective ethics & compliance strategy. You",posted 6 march 2025,permanent
ops manager (electronics / qc & inventory),https://www.randstad.com.sg/jobs/ops-manager-electronics-qc-inventory_central-region_44929361/,"S$6,000 - S$8,000 per month","about the companyour client specialises in distribution of mobile devices and consumer electronic products, and we are looking for a Operations Manager to oversee production, QA/QC, inventory management, and cost optimisation.about the joboversee the entire production control including implementation of operational strategiesbe responsible for inbound/outbound logistics (purchasing, shipment, inventory), working closely with external partners (suppliers, v",posted 6 march 2025,permanent
market risk management product control officer - foreign bank,https://www.randstad.com.sg/jobs/market-risk-management-product-control-officer-foreign-bank_singapore_44928913/,,"about the companyEstablished for over 70 years, the Client is a leading foreign bank offering a full suite of banking services to customers worldwide. They believe in grooming their employees to become the best at what they do, and offer internal mobility opportunities.about the roleResponsible for risk reporting, monitoring and analytics of Market Risk, ALM Risk and Credit Risk Perform Market Risk and Product Control duties for Group TreasuryEnsure prompt",posted 6 march 2025,permanent
cloud security & risk lead,https://www.randstad.com.sg/jobs/cloud-security-risk-lead_singapore_44928909/,"S$15,000 - S$20,000 per month","Opportunities for internal job rotation within 3-5 yearsExpertise in cloud security, risk assessment, and incident managementProactive leader traitsabout the companyMy client is looking for an experience Cloud Security & Risk Lead strong focus on cloud security to enhance and govern the agency’s cybersecurity posture. The ideal candidate will drive security strategies, ensure compliance, and lead risk management initiatives while working closely with stake",posted 6 march 2025,permanent
"assistant manager/manager, finance  - foreign bank",https://www.randstad.com.sg/jobs/assistant-managermanager-finance-foreign-bank_singapore-river_44928839/,,"about the companyEstablished for over 70 years, the Client is an established bank offering a full suite of banking services to customers worldwide. They believe in grooming their employees to become the best at what they do, and offer internal mobility opportunities.about the roleAssist with Head Office Reporting, Management and Financial Reporting which includes preparation of year-end Financial Statements Maintain records of financial transactions such a",posted 6 march 2025,permanent
team manager - international banking,https://www.randstad.com.sg/jobs/team-manager-international-banking_singapore_44928838/,,"Two position available: 1) Holding a dual role as Team Manager and Relationship Manager, you main responsibility will include; Providing tailored Wealth Management Advisory to High Net Worth (HNW) clients in the offshore market.Leading and managing a team of Relationship Managers ; offering coaching and mentorshipDeveloping and executing business strategies to drive team success and performance.2) Pure Sales Team Manager position; To lead a team of Offsho",posted 6 march 2025,permanent
regional b2b strategic sales director(agric powertools machine),https://www.randstad.com.sg/jobs/regional-b2b-strategic-sales-directoragric-powertools-machine_singapore_44928834/,"S$12,000 - S$17,000 per month, +vb",about the jobManage existing customer and develop new potential opportunitiesDevelop and maintain a sustainable distribution networkProvide regular updates on regional performance and market insightsAbility to handle all the enquiries and negotiation with customerIdentify and engage with high-potential dealers and customersLead team to fulfil customer escalations/rescheduleDefine clear sales targets and KPIsDrive cost reduction by working with internal fun,posted 6 march 2025,permanent
"assistant manager, regional cybersecurity",https://www.randstad.com.sg/jobs/assistant-manager-regional-cybersecurity_singapore_44928698/,"S$9,000 - S$15,000 per month","Prior experience in a regional cybersecurity roleExperience in working within regulated industriesCompleted ISO27001 implementations and recertificationsabout the companyMy client is seeking an experienced Assistant Manager, Regional Cybersecurity to lead the implementation and governance of ISO27001:2022 across the region. The ideal candidate will have a strong background in cybersecurity governance, risk management, and compliance, particularly with ISO2",posted 6 march 2025,permanent
software engineer (java),https://www.randstad.com.sg/jobs/software-engineer-java_singapore_44928694/,"S$5,000 - S$7,200 per month, AWS + Bonus (1-3 mths)","about the companyA technology consultancy driven by collaboration, they empower business growth through modern software development methodologies and cutting-edge solutions. Leveraging top-tier technologies like AWS, Aliyun, Equinix, and Megaport, constantly engineer transformational solutions that redefine how businesses operate.about the jobDevelop, test, deploy, and maintain business applications and systems integrations required for the operationEnsure",posted 6 march 2025,permanent
"senior network engineer - firewall, lan, wan, voip, azure cloud",https://www.randstad.com.sg/jobs/senior-network-engineer-firewall-lan-wan-voip-azure-cloud_singapore_44928621/,,"Concrete project timeline with exposure to latest technologies Regional exposure working in a sizable team  About the companyOur Client is a market leader within their industry. They have a well-established presence of more than 30 years. With rapid expansion plan, they are now looking for a Senior Network Engineer to join their team.About the jobReporting to the Head of IT Network your role involves: Supporting/troubleshooting and implementation of Cisco",posted 6 march 2025,permanent
insurance specialist (bank),https://www.randstad.com.sg/jobs/insurance-specialist-bank_singapore_44925725/,,"about the jobCollaborate with Relationship Managers to meet referral and conversion targets.Provide training to Relationship Managers through regular sessions, workshops, and case studies to enhance product knowledge, insurance propositions/pitches, processes, and the exchange of innovative ideas.Develop strategies and action plans to boost sales activity and address key financial drivers. Businessskills and experience requiredA degree is minimally require",posted 5 march 2025,permanent
branch manager (bank),https://www.randstad.com.sg/jobs/branch-manager-bank_singapore_44925717/,,"about the jobLeadership and Coaching: Mentor and guide Relationship Managers to enhance their sales capabilities, deepen product knowledge, and strengthen client management expertise.Business Development and Growth: Lead initiatives in client acquisition and business expansion to grow the bank’s Priority Banking and wealth management portfolios.Performance Management: Deliver regular updates to senior management on team productivity, client satisfaction me",posted 5 march 2025,permanent
business development manager (fintech - sme lending),https://www.randstad.com.sg/jobs/business-development-manager-fintech-sme-lending_singapore_44925713/,"S$3,800 - S$4,500 per month","about the companyAs a leading online lending firm, they are now looking to expand their team of client acquisition manager.    about the jobAs a client acquisition manager, your job scope would include prospecting and acquiring of clients as well as cross selling of unsecured financing products. This includes products such as; invoice financing, purchase order financing and working capital loans.  about the manager/teamYou will be a part of a dynamic team",posted 5 march 2025,permanent
"senior client advisor, priority banking",https://www.randstad.com.sg/jobs/senior-client-advisor-priority-banking_singapore_44925710/,"S$7,000 - S$10,000 per month","RELATIONSHIP MANAGER (ULTRA-HIGH/HIGH NET WORTH)Job Description:Build and manage long-term relationships with a portfolio of priority clients.Understand clients’ financial needs and deliver tailored financial solutions to meet their objectives.Provide ongoing advice and support, helping clients make informed decisions about their wealth.Identify and capitalize on opportunities to expand the client base and increase revenue.Work closely with product special",posted 5 march 2025,permanent
personal wealth manager (foreign bank),https://www.randstad.com.sg/jobs/personal-wealth-manager-foreign-bank_singapore-river_44925709/,"S$3,600 - S$3,800 per month","about the companyAs a global leading bank operating on a huge network, they are now looking to expand their team of relationship managers.The company focuses on excellent customer service and people development to thrive and prosper.Be part of a global bank Opportunities for growth and development.Competitive salary with performance-based incentives.CMFAS certificates will be coveredSupportive environment with mentoring and training providedSales position",posted 5 march 2025,permanent
relationship manager - enterprise banking,https://www.randstad.com.sg/jobs/relationship-manager-enterprise-banking_singapore-river_44925708/,"S$6,000 - S$10,000 per month","Key Responsibilities:Achieve individual financial and non-financial goals by acquiring, growing, and retaining profitable Medium Enterprise customers, while staying within acceptable risk parameters. Contribute to the team’s overall objectives and drive optimal portfolio performance.Collaborate effectively with Relationship Managers, Credit Analysts, Team Managers, Segment Heads, as well as colleagues in CDD teams, and partners in Risk, Compliance, and oth",posted 5 march 2025,permanent
business development manager - international banking,https://www.randstad.com.sg/jobs/business-development-manager-international-banking_singapore_44925656/,,"about the jobAcquire affluent international customers through Global LeadsFacilitate account opening, ensuring proper KYC procedures before onboarding customers Collaborate with offshore Relationship Managers to deliver a comprehensive wealth management experience for new and existing affluent clients, while promoting the Bank’s exclusive depository products and services.Work closely with various internal departments and stakeholders to convert referrals a",posted 5 march 2025,permanent
relationship manager (international banking),https://www.randstad.com.sg/jobs/relationship-manager-international-banking_singapore_44925651/,,"about the jobGrowing the wealth of high net-worth individuals and providing professional services for their banking needs; including insurance and investment across the following markets ((North Asia, Malaysia, Indonesia, ROW, India market etc.) about the manager/teamWorking alongside a competent team, you will have to opportunity to grow in the banking space.  skills and experience requiredA degree is minimally required with 3 years of experience in the",posted 5 march 2025,permanent
"director, priority & priority private banking",https://www.randstad.com.sg/jobs/director-priority-priority-private-banking_singapore_44925644/,"S$5,000 - S$10,000 per month","Principal Responsibilities:Develop and manage a Premier customer base, building long-term relationships with an assigned portfolio of clients.Oversee the total wealth of clients, matching financial and investment product solutions to their needs.Demonstrate a genuine interest in customers, helping them achieve their financial goals.Collaborate with Product Specialists to provide advanced technical support and address multiple client needs.Promote Premier s",posted 5 march 2025,permanent
priority client - acquisition manager,https://www.randstad.com.sg/jobs/priority-client-acquisition-manager_singapore_44925642/,,"about the jobAcquiring and maanging high-net-worth clients through various channels like tele-prospecting, networking, and events.Managing account opening processes and cross-selling a range of exclusive depository products and services.Focusing primarily on NRI markets.  skills and experience requiredExcellent interpersonal, negotiation, and communication skills.Financial product knowledge is required. Strong drive to succeed and thrive in a fast-paced wo",posted 5 march 2025,permanent
client servicing manager (sme lending),https://www.randstad.com.sg/jobs/client-servicing-manager-sme-lending_singapore_44925640/,,"about the companyAs a leading online lending firm, they are now looking to expand their team of client servicing manager.about the jobAchieve monthly loan disbursement targets by managing and nurturing existing client relationships. Cultivate positive, enduring relationships within existing client organisations Proactively monitor activity and engagement levels of existing clients, identifying issues that may impact future business and collaborating with r",posted 5 march 2025,permanent
wealth management advisor - international bank,https://www.randstad.com.sg/jobs/wealth-management-advisor-international-bank_singapore-river_44925637/,,"Happy to speak to individuals who comes from outside the banking industry! CMFAS certificates will be paid forSupportive environment with mentoring and training provided. This is a sales position within a bank - 5.5 days (branch hours) about the jobThis is a branch client facing sales position where you will be focusing on the following: Engage, prospect and account management of a portfolio clients across insurance and investment portfolio.skills and expe",posted 5 march 2025,permanent
business manager (bank),https://www.randstad.com.sg/jobs/business-manager-bank_singapore_44925638/,,"about the jobLeadership and Coaching: Mentor and guide Relationship Managers to enhance their sales capabilities, deepen product knowledge, and strengthen client management expertise.Business Development and Growth: Lead initiatives in client acquisition and business expansion to grow the bank’s Priority Banking and wealth management portfolios.Performance Management: Deliver regular updates to senior management on team productivity, client satisfaction me",posted 5 march 2025,permanent
business development manager (north asia),https://www.randstad.com.sg/jobs/business-development-manager-north-asia_singapore_44925602/,,"about the jobManaging account opening processes and cross-selling a range of exclusive depository products and services.Focusing primarily on offshore markets.  skills and experience requiredExcellent interpersonal, negotiation, and communication skills.Financial product knowledge is required. Strong drive to succeed and thrive in a fast-paced work environment.Experience or ability to interact with clients from offshore market. Prior KYC and account openin",posted 5 march 2025,permanent
"associate director, priority banking",https://www.randstad.com.sg/jobs/associate-director-priority-banking_singapore_44925588/,"S$7,000 - S$10,000 per month","RELATIONSHIP MANAGER (ULTRA-HIGH/HIGH NET WORTH)Job Description:Build and manage long-term relationships with a portfolio of priority clients.Understand clients’ financial needs and deliver tailored financial solutions to meet their objectives.Provide ongoing advice and support, helping clients make informed decisions about their wealth.Identify and capitalize on opportunities to expand the client base and increase revenue.Work closely with product special",posted 5 march 2025,permanent
commercial banking relationship manager,https://www.randstad.com.sg/jobs/commercial-banking-relationship-manager_singapore-river_44925585/,"S$6,000 - S$10,000 per month","This role is part of the Commercial Banking team at a leading local bank, which is looking to expand its relationship manager portfolio, with a focus on the F&B segment. (middle - large SME focus) This position is ideal for individuals currently in commercial banking seeking a move. About the Job:Manage and acquire a portfolio of medium and large SMEs within the F&B industry, providing tailored trade solutions.Maximize revenue growth from customers, includ",posted 5 march 2025,permanent
"assistant manager, hrbp - data centre",https://www.randstad.com.sg/jobs/assistant-manager-hrbp-data-centre_singapore_44925015/,"S$6,000 - S$8,000 per month","about the companyOur client is a prominent data center solutions firm headquartered in Singapore. They have been steadily expanding across the Asia Pacific emerging markets and are currently looking for a HRBP to be part of their growing team, partnering with the business leaders and supporting designated functions. about the jobPartner with business leaders to understand priorities and align HR strategies to meet organizational goals.Collaborate with Cent",posted 5 march 2025,permanent
vice president bancassurance product management,https://www.randstad.com.sg/jobs/vice-president-bancassurance-product-management_singapore_44924931/,"S$100,000 - S$160,000 per year","about the companyOur client is a regional bank.  about the jobThis role involves selecting and onboarding insurance brokers to drive business objectives for life and general insurance products. You will develop and implement business plans, marketing strategies, and compliance processes that align with MAS requirements. The position requires close collaboration with internal teams and external partners to deliver quality products, marketing campaigns, and",posted 5 march 2025,permanent
command center manager / data center manager,https://www.randstad.com.sg/jobs/command-center-manager-data-center-manager_singapore_44924320/,,"Newly created headcount for a newly created team (opportunity to hire and manager your own team) Grow together with a fast growing company About the companyOur client is an established company with over 20 years of experience who is a market leader within their industry. As part of their plan to invest in technology, they are now hiring an experienced Command Center Manager - APAC - Data center to join their team.  About the jobLead, coach, and mentor the",posted 5 march 2025,permanent
sap project manager in house role,https://www.randstad.com.sg/jobs/sap-project-manager-in-house-role_singapore_44924313/,,"Large scale SAP projectHigh job stability due to strong pipeline of projectsAbout the companyOur client is an established company with over 20 years of experience who is a market leader within their industry. As part of their plan to invest in technology, they are now hiring an experienced SAP Project Manager to lead the SAP project.About the jobManaging and prioritizing demand from business stakeholders. Rolling out PMO processes in the regionGathering re",posted 5 march 2025,permanent
private banking relationship manager (na),https://www.randstad.com.sg/jobs/private-banking-relationship-manager-na_singapore_44924113/,,"about the companyOur client is a reputable Foreign Bank who is expanding business here in Singapore.about the jobThis is a full-time on-site role as a Private Banker located in Singapore. The Private Banker will be responsible for financial planning, finance management, investment advisory, asset allocation, and providing private banking services to High Net Worth (HNW) clients.  about the manager/teamYou will be working alongside an experienced team of Sp",posted 5 march 2025,permanent
"information system tech lead (network, application, security)",https://www.randstad.com.sg/jobs/information-system-tech-lead-network-application-security_thailand_44924104/,,"about the companyOur client is a leading data center provider globallyabout the job1)Responsible for system administrative works and data steward tasks for daily operation. Responsible for Change Management practices in line with Technical Lead technical approval, impact analysis, communication and documentation of the change. In align with Group IT Security policy/procedure, follow required practices across company organization.Support IT/System users in",posted 5 march 2025,permanent
regional credit control manager (insurance),https://www.randstad.com.sg/jobs/regional-credit-control-manager-insurance_singapore_44924101/,,"About the companyOur client is a leading global general insurance company with a strong reputation for delivering innovative insurance products worldwide. As part of business growth, they are expanding their team to include a newly created Regional Credit Control Manager role. This strategic position will be key in enhancing our credit control processes and driving improvements across the region.About the jobOverseeing and managing the end-to-end credit co",posted 5 march 2025,permanent
"information system tech lead (network, application, security)",https://www.randstad.com.sg/jobs/information-system-tech-lead-network-application-security_thailand_44923952/,,"about the companyOur client is a leading data center provider globallyabout the job1)Responsible for system administrative works and data steward tasks for daily operation. Responsible for Change Management practices in line with Technical Lead technical approval, impact analysis, communication and documentation of the change. In align with Group IT Security policy/procedure, follow required practices across company organization.Support IT/System users in",posted 5 march 2025,permanent
quality manager(qms certifications & documentation),https://www.randstad.com.sg/jobs/quality-managerqms-certifications-documentation_singapore_44923734/,"S$5,000 - S$7,000 per month, +vb","about the company My client is a builder for data center. They’re looking for a Quality System Manager to join their quality team. This role will be reporting to the GM. about the jobPlan, coordinate and oversee all Quality Assurance activities in the CompanyOversee the Documentation Control function for Quality Management SystemAct as the Quality Management Representative for the CompanyPlan and execute annual Internal Audit to ensure all quality systems",posted 5 march 2025,permanent
hse safety manage(oil terminal storage)based @ batam,https://www.randstad.com.sg/jobs/hse-safety-manageoil-terminal-storagebased-batam_singapore_44923732/,"S$10,000 - S$14,000 per month, +AWS","about the companyOur client is a renowned international consulting firm focused on urban development, infrastructure, and managed services. With a long history of accomplishing successful projects, they offer a comprehensive range of consulting services across various disciplines. about the jobProvide technical assistance and advice covering but not limited to safety management systems, process safety, fire prevention, quantitative risk analysis and behavi",posted 5 march 2025,permanent
sr/a1 architectural coordinator (central region),https://www.randstad.com.sg/jobs/sra1-architectural-coordinator-central-region_singapore_44923727/,"S$4,000 - S$7,000 per month","about the companythey have been a key player in shaping the nation’s built environment for decades. With a strong track record in residential, commercial, and industrial developments, it is recognized for its commitment to quality, innovation, and sustainability. Backed by sound financial standing and advanced technology, the company continuously refines its capabilities to meet evolving industry demands.  about the roleresponsible for managing and coordin",posted 5 march 2025,permanent
a1 quantity surveyor (m&e or tender or c&s),https://www.randstad.com.sg/jobs/a1-quantity-surveyor-me-or-tender-or-cs_singapore_44923608/,"S$5,500 - S$7,000 per month","about the companya leading construction and engineering firm with a strong presence in Singapore, specializing in both public and private sector projects. The company has played a key role in delivering major infrastructure and commercial developments, including large-scale entertainment and cultural attractions. about the roleyou’ll be involved in cost estimation, tendering, budgeting, and contract administration, ensuring projects are delivered efficient",posted 5 march 2025,permanent
presales solution architect (application / services),https://www.randstad.com.sg/jobs/presales-solution-architect-application-services_singapore_44923536/,"S$15,000 - S$16,000 per month, bonus","about the companyOur Client is a global telco MNC company. about the jobLead and manage all aspects of the end-to-end bid management process, including RFP/RFI analysis, bid strategy development, planning, prioritizing, solution development coordination, pricing structuring, coordinating bid activities and final proposal compilation.Assemble and lead a bid team with the necessary expertise to develop a winning proposal.Orchestrate cross-functional bid team",posted 5 march 2025,permanent
(senior) frontend engineer,https://www.randstad.com.sg/jobs/senior-frontend-engineer_singapore_44923477/,"S$7,000 - S$15,000 per month, AWS, Bonus",about companyI am currently working with a leading and reputable game studio in China. Originally from China and they have plans to shift the HQ to SG. They are building their Asia development centre in Singapore.Salary budget open! Base salary + AWS + variable bonus3 rounds of interview to offer stage. 5 days in office located at Bugis area. about job- Lead the front-end technical architecture and feature design for our internal business systems and overs,posted 5 march 2025,permanent
solutions architect (automotive/transport/logistics/fleet),https://www.randstad.com.sg/jobs/solutions-architect-automotivetransportlogisticsfleet_singapore_44923473/,"S$8,000 - S$13,000 per month, AWS, Bonus","about companyI am currently working with a global IoT leader with strategic investments from Temasek Holdings. They deliver cutting-edge, sustainable IoT and AI technologies that power smart cities and industries worldwide.Salary stucture: Base + AWS. 3 rounds of interview to offer stage. 5 days in office at CBD. about jobLead the development of integrated hardware and software solutions for the travel industry, adept at identifying customer needs, integra",posted 5 march 2025,permanent
client solutions manager - digital ad tech,https://www.randstad.com.sg/jobs/client-solutions-manager-digital-ad-tech_singapore_44920099/,"S$8,000 - S$12,000 per month","About the RoleOur client is looking for a dynamic and results-oriented Client Solutions Manager with a proven track record in Ad Tech sales. This role is ideal for a professional with at least 7 years of experience working with digital marketing agencies and online ad platforms.The successful candidate will be skilled at driving performance marketing strategies, managing high-value client relationships, and selling complex advertising solutions to sophist",posted 4 march 2025,permanent
client solutions manager - digital ad tech,https://www.randstad.com.sg/jobs/client-solutions-manager-digital-ad-tech_singapore_44920075/,"S$8,000 - S$12,000 per month","About the RoleOur client is looking for a dynamic and results-oriented Client Solutions Manager with a proven track record in Ad Tech sales. This role is ideal for a professional with at least 7 years of experience working with digital marketing agencies and online ad platforms.The successful candidate will be skilled at driving performance marketing strategies, managing high-value client relationships, and selling complex advertising solutions to sophist",posted 4 march 2025,permanent
key account manager - digital advertising,https://www.randstad.com.sg/jobs/key-account-manager-digital-advertising_singapore_44920053/,"S$8,000 - S$13,000 per month",About the role My client is seeking a highly experienced and results-driven Key Account Manager with a strong background in Advertising Technology sales. The ideal candidate will have a minimum of 6 years of experience working with online ad platforms and managing relationships with high-potential digital marketing agencies. This role requires a deep understanding of performance marketing and the ability to sell complex advertising solutions to sophisticat,posted 4 march 2025,permanent
assistant sales manager (consumer electronics brand),https://www.randstad.com.sg/jobs/assistant-sales-manager-consumer-electronics-brand_singapore_44919196/,"S$4,000 - S$5,000 per month","Globally renowned brand, specialising in consumer electronics products.   Key role in expanding business opportunities, strengthening client partnerships, and supporting overall sales operations. Assistant Sales Manager (Consumer Electronics Brand)about the company Our client is a globally renowned consumer electronics brand, known for its high quality products. With concrete plans for the future, its objective is to develop new business opportunities and",posted 4 march 2025,permanent
