quarter,industry1,occupation1,job_vacancy
1999-Q2,manufacturing,"professional, managers, executive and technicians",1700
1999-Q2,manufacturing,"clerical, sales and services workers",600
1999-Q2,manufacturing,"production and transport operators, cleaners and labourers",3600
1999-Q2,construction,total,1800
1999-Q2,construction,"professional, managers, executive and technicians",200
1999-Q2,construction,"clerical, sales and services workers",100
1999-Q2,construction,"production and transport operators, cleaners and labourers",1600
1999-Q2,services,total,11500
1999-Q2,services,"professional, managers, executive and technicians",4700
1999-Q2,services,"clerical, sales and services workers",5400
1999-Q2,services,"production and transport operators, cleaners and labourers",1400
1999-Q2,others,total,-
1999-Q2,others,"professional, managers, executive and technicians",-
1999-Q2,others,"clerical, sales and services workers",-
1999-Q2,others,"production and transport operators, cleaners and labourers",-
1999-Q3,total,total,25100
1999-Q3,total,"professional, managers, executive and technicians",8400
1999-Q3,total,"clerical, sales and services workers",7400
1999-Q3,total,"production and transport operators, cleaners and labourers",9300
1999-Q3,manufacturing,total,7400
1999-Q3,manufacturing,"professional, managers, executive and technicians",2000
1999-Q3,manufacturing,"clerical, sales and services workers",500
1999-Q3,manufacturing,"production and transport operators, cleaners and labourers",4900
1999-Q3,construction,total,1900
1999-Q3,construction,"professional, managers, executive and technicians",300
1999-Q3,construction,"clerical, sales and services workers",100
1999-Q3,construction,"production and transport operators, cleaners and labourers",1500
1999-Q3,services,total,14900
1999-Q3,services,"professional, managers, executive and technicians",5400
1999-Q3,services,"clerical, sales and services workers",6600
1999-Q3,services,"production and transport operators, cleaners and labourers",2900
1999-Q3,others,total,900
1999-Q3,others,"professional, managers, executive and technicians",700
1999-Q3,others,"clerical, sales and services workers",100
1999-Q3,others,"production and transport operators, cleaners and labourers",100
1999-Q4,total,total,22000
1999-Q4,total,"professional, managers, executive and technicians",8100
1999-Q4,total,"clerical, sales and services workers",6300
1999-Q4,total,"production and transport operators, cleaners and labourers",7600
1999-Q4,manufacturing,total,6400
1999-Q4,manufacturing,"professional, managers, executive and technicians",1900
1999-Q4,manufacturing,"clerical, sales and services workers",500
1999-Q4,manufacturing,"production and transport operators, cleaners and labourers",4000
1999-Q4,construction,total,1100
1999-Q4,construction,"professional, managers, executive and technicians",200
1999-Q4,construction,"clerical, sales and services workers",100
1999-Q4,construction,"production and transport operators, cleaners and labourers",900
1999-Q4,services,total,14300
1999-Q4,services,"professional, managers, executive and technicians",5800
1999-Q4,services,"clerical, sales and services workers",5800
1999-Q4,services,"production and transport operators, cleaners and labourers",2700
1999-Q4,others,total,200
1999-Q4,others,"professional, managers, executive and technicians",200
1999-Q4,others,"clerical, sales and services workers",-
1999-Q4,others,"production and transport operators, cleaners and labourers",100
2000-Q1,total,total,26200
2000-Q1,total,"professional, managers, executive and technicians",9100
2000-Q1,total,"clerical, sales and services workers",7300
2000-Q1,total,"production and transport operators, cleaners and labourers",9700
2000-Q1,manufacturing,total,8000
2000-Q1,manufacturing,"professional, managers, executive and technicians",2300
2000-Q1,manufacturing,"clerical, sales and services workers",800
2000-Q1,manufacturing,"production and transport operators, cleaners and labourers",5000
2000-Q1,construction,total,1900
2000-Q1,construction,"professional, managers, executive and technicians",300
2000-Q1,construction,"clerical, sales and services workers",100
2000-Q1,construction,"production and transport operators, cleaners and labourers",1500
2000-Q1,services,total,16000
2000-Q1,services,"professional, managers, executive and technicians",6400
2000-Q1,services,"clerical, sales and services workers",6400
2000-Q1,services,"production and transport operators, cleaners and labourers",3200
2000-Q1,others,total,200
2000-Q1,others,"professional, managers, executive and technicians",100
2000-Q1,others,"clerical, sales and services workers",-
2000-Q1,others,"production and transport operators, cleaners and labourers",100
2000-Q2,total,total,29800
2000-Q2,total,"professional, managers, executive and technicians",11000
2000-Q2,total,"clerical, sales and services workers",8700
2000-Q2,total,"production and transport operators, cleaners and labourers",10000
2000-Q2,manufacturing,total,9700
2000-Q2,manufacturing,"professional, managers, executive and technicians",3000
2000-Q2,manufacturing,"clerical, sales and services workers",800
2000-Q2,manufacturing,"production and transport operators, cleaners and labourers",5900
2000-Q2,construction,total,1800
2000-Q2,construction,"professional, managers, executive and technicians",200
2000-Q2,construction,"clerical, sales and services workers",200
2000-Q2,construction,"production and transport operators, cleaners and labourers",1400
2000-Q2,services,total,18100
2000-Q2,services,"professional, managers, executive and technicians",7700
2000-Q2,services,"clerical, sales and services workers",7700
2000-Q2,services,"production and transport operators, cleaners and labourers",2700
2000-Q2,others,total,200
2000-Q2,others,"professional, managers, executive and technicians",100
2000-Q2,others,"clerical, sales and services workers",-
2000-Q2,others,"production and transport operators, cleaners and labourers",-
2000-Q3,total,total,32400
2000-Q3,total,"professional, managers, executive and technicians",11400
2000-Q3,total,"clerical, sales and services workers",9200
2000-Q3,total,"production and transport operators, cleaners and labourers",11800
2000-Q3,manufacturing,total,10300
2000-Q3,manufacturing,"professional, managers, executive and technicians",2800
2000-Q3,manufacturing,"clerical, sales and services workers",700
2000-Q3,manufacturing,"production and transport operators, cleaners and labourers",6800
2000-Q3,construction,total,1700
2000-Q3,construction,"professional, managers, executive and technicians",400
2000-Q3,construction,"clerical, sales and services workers",100
2000-Q3,construction,"production and transport operators, cleaners and labourers",1300
2000-Q3,services,total,20000
2000-Q3,services,"professional, managers, executive and technicians",8000
2000-Q3,services,"clerical, sales and services workers",8300
2000-Q3,services,"production and transport operators, cleaners and labourers",3600
2000-Q3,others,total,300
2000-Q3,others,"professional, managers, executive and technicians",200
2000-Q3,others,"clerical, sales and services workers",100
2000-Q3,others,"production and transport operators, cleaners and labourers",100
2000-Q4,total,total,22100
2000-Q4,total,"professional, managers, executive and technicians",8000
2000-Q4,total,"clerical, sales and services workers",6900
2000-Q4,total,"production and transport operators, cleaners and labourers",7200
2000-Q4,manufacturing,total,6400
2000-Q4,manufacturing,"professional, managers, executive and technicians",1900
2000-Q4,manufacturing,"clerical, sales and services workers",500
2000-Q4,manufacturing,"production and transport operators, cleaners and labourers",3900
2000-Q4,construction,total,1000
2000-Q4,construction,"professional, managers, executive and technicians",200
2000-Q4,construction,"clerical, sales and services workers",100
2000-Q4,construction,"production and transport operators, cleaners and labourers",700
2000-Q4,services,total,14500
2000-Q4,services,"professional, managers, executive and technicians",5700
2000-Q4,services,"clerical, sales and services workers",6200
2000-Q4,services,"production and transport operators, cleaners and labourers",2600
2000-Q4,others,total,300
2000-Q4,others,"professional, managers, executive and technicians",200
2000-Q4,others,"clerical, sales and services workers",-
2000-Q4,others,"production and transport operators, cleaners and labourers",-
2001-Q1,total,total,19800
2001-Q1,total,"professional, managers, executive and technicians",7400
2001-Q1,total,"clerical, sales and services workers",6500
2001-Q1,total,"production and transport operators, cleaners and labourers",5800
2001-Q1,manufacturing,total,4500
2001-Q1,manufacturing,"professional, managers, executive and technicians",1400
2001-Q1,manufacturing,"clerical, sales and services workers",500
2001-Q1,manufacturing,"production and transport operators, cleaners and labourers",2600
2001-Q1,construction,total,1100
2001-Q1,construction,"professional, managers, executive and technicians",200
2001-Q1,construction,"clerical, sales and services workers",100
2001-Q1,construction,"production and transport operators, cleaners and labourers",800
2001-Q1,services,total,13900
2001-Q1,services,"professional, managers, executive and technicians",5700
2001-Q1,services,"clerical, sales and services workers",5800
2001-Q1,services,"production and transport operators, cleaners and labourers",2400
2001-Q1,others,total,300
2001-Q1,others,"professional, managers, executive and technicians",200
2001-Q1,others,"clerical, sales and services workers",100
2001-Q1,others,"production and transport operators, cleaners and labourers",-
2001-Q2,total,total,17300
2001-Q2,total,"professional, managers, executive and technicians",6400
2001-Q2,total,"clerical, sales and services workers",5300
2001-Q2,total,"production and transport operators, cleaners and labourers",5600
2001-Q2,manufacturing,total,4100
2001-Q2,manufacturing,"professional, managers, executive and technicians",1300
2001-Q2,manufacturing,"clerical, sales and services workers",400
2001-Q2,manufacturing,"production and transport operators, cleaners and labourers",2400
2001-Q2,construction,total,800
2001-Q2,construction,"professional, managers, executive and technicians",100
2001-Q2,construction,"clerical, sales and services workers",-
2001-Q2,construction,"production and transport operators, cleaners and labourers",600
2001-Q2,services,total,12100
2001-Q2,services,"professional, managers, executive and technicians",4800
2001-Q2,services,"clerical, sales and services workers",4800
2001-Q2,services,"production and transport operators, cleaners and labourers",2500
2001-Q2,others,total,300
2001-Q2,others,"professional, managers, executive and technicians",200
2001-Q2,others,"clerical, sales and services workers",100
2001-Q2,others,"production and transport operators, cleaners and labourers",-
2001-Q3,total,total,14100
2001-Q3,total,"professional, managers, executive and technicians",5000
2001-Q3,total,"clerical, sales and services workers",4100
2001-Q3,total,"production and transport operators, cleaners and labourers",5000
2001-Q3,manufacturing,total,3500
2001-Q3,manufacturing,"professional, managers, executive and technicians",1000
2001-Q3,manufacturing,"clerical, sales and services workers",200
2001-Q3,manufacturing,"production and transport operators, cleaners and labourers",2300
2001-Q3,construction,total,700
2001-Q3,construction,"professional, managers, executive and technicians",200
2001-Q3,construction,"clerical, sales and services workers",-
2001-Q3,construction,"production and transport operators, cleaners and labourers",500
2001-Q3,services,total,9600
2001-Q3,services,"professional, managers, executive and technicians",3700
2001-Q3,services,"clerical, sales and services workers",3800
2001-Q3,services,"production and transport operators, cleaners and labourers",2200
2001-Q3,others,total,200
2001-Q3,others,"professional, managers, executive and technicians",100
2001-Q3,others,"clerical, sales and services workers",-
2001-Q3,others,"production and transport operators, cleaners and labourers",100
2001-Q4,total,total,12500
2001-Q4,total,"professional, managers, executive and technicians",4300
2001-Q4,total,"clerical, sales and services workers",3300
2001-Q4,total,"production and transport operators, cleaners and labourers",4900
2001-Q4,manufacturing,total,3200
2001-Q4,manufacturing,"professional, managers, executive and technicians",1000
2001-Q4,manufacturing,"clerical, sales and services workers",200
2001-Q4,manufacturing,"production and transport operators, cleaners and labourers",2000
2001-Q4,construction,total,900
2001-Q4,construction,"professional, managers, executive and technicians",100
2001-Q4,construction,"clerical, sales and services workers",-
2001-Q4,construction,"production and transport operators, cleaners and labourers",800
2001-Q4,services,total,8100
2001-Q4,services,"professional, managers, executive and technicians",3000
2001-Q4,services,"clerical, sales and services workers",3100
2001-Q4,services,"production and transport operators, cleaners and labourers",2000
2001-Q4,others,total,300
2001-Q4,others,"professional, managers, executive and technicians",100
2001-Q4,others,"clerical, sales and services workers",-
2001-Q4,others,"production and transport operators, cleaners and labourers",100
2002-Q1,total,total,13900
2002-Q1,total,"professional, managers, executive and technicians",4800
2002-Q1,total,"clerical, sales and services workers",3400
2002-Q1,total,"production and transport operators, cleaners and labourers",5600
2002-Q1,manufacturing,total,4600
2002-Q1,manufacturing,"professional, managers, executive and technicians",1500
2002-Q1,manufacturing,"clerical, sales and services workers",200
2004-Q1,construction,"clerical, sales and services workers",-
2002-Q1,manufacturing,"production and transport operators, cleaners and labourers",2800
2002-Q1,construction,total,700
2002-Q1,construction,"professional, managers, executive and technicians",100
2002-Q1,construction,"clerical, sales and services workers",-
2002-Q1,construction,"production and transport operators, cleaners and labourers",500
2002-Q1,services,total,8300
2002-Q1,services,"professional, managers, executive and technicians",3000
2002-Q1,services,"clerical, sales and services workers",3100
2002-Q1,services,"production and transport operators, cleaners and labourers",2200
2002-Q1,others,total,300
2002-Q1,others,"professional, managers, executive and technicians",200
2002-Q1,others,"clerical, sales and services workers",-
2002-Q1,others,"production and transport operators, cleaners and labourers",100
2002-Q2,total,total,16100
2002-Q2,total,"professional, managers, executive and technicians",5100
2002-Q2,total,"clerical, sales and services workers",4100
2002-Q2,total,"production and transport operators, cleaners and labourers",6900
2002-Q2,manufacturing,total,5400
2002-Q2,manufacturing,"professional, managers, executive and technicians",1700
2002-Q2,manufacturing,"clerical, sales and services workers",300
2002-Q2,manufacturing,"production and transport operators, cleaners and labourers",3400
2002-Q2,construction,total,900
2002-Q2,construction,"professional, managers, executive and technicians",200
2002-Q2,construction,"clerical, sales and services workers",100
2002-Q2,construction,"production and transport operators, cleaners and labourers",600
2002-Q2,services,total,9200
2002-Q2,services,"professional, managers, executive and technicians",3100
2002-Q2,services,"clerical, sales and services workers",3600
2002-Q2,services,"production and transport operators, cleaners and labourers",2400
2002-Q2,others,total,700
2002-Q2,others,"professional, managers, executive and technicians",100
2002-Q2,others,"clerical, sales and services workers",-
2002-Q2,others,"production and transport operators, cleaners and labourers",500
2002-Q3,total,total,17200
2002-Q3,total,"professional, managers, executive and technicians",5000
2002-Q3,total,"clerical, sales and services workers",5100
2002-Q3,total,"production and transport operators, cleaners and labourers",7200
2002-Q3,manufacturing,total,5900
2002-Q3,manufacturing,"professional, managers, executive and technicians",1600
2002-Q3,manufacturing,"clerical, sales and services workers",300
2002-Q3,manufacturing,"production and transport operators, cleaners and labourers",4100
2002-Q3,construction,total,600
2002-Q3,construction,"professional, managers, executive and technicians",100
2002-Q3,construction,"clerical, sales and services workers",-
2002-Q3,construction,"production and transport operators, cleaners and labourers",500
2002-Q3,services,total,10400
2002-Q3,services,"professional, managers, executive and technicians",3100
2002-Q3,services,"clerical, sales and services workers",4800
2002-Q3,services,"production and transport operators, cleaners and labourers",2500
2002-Q3,others,total,300
2002-Q3,others,"professional, managers, executive and technicians",200
2002-Q3,others,"clerical, sales and services workers",-
2002-Q3,others,"production and transport operators, cleaners and labourers",100
2002-Q4,total,total,12900
2002-Q4,total,"professional, managers, executive and technicians",3800
2002-Q4,total,"clerical, sales and services workers",3300
2002-Q4,total,"production and transport operators, cleaners and labourers",5800
2002-Q4,manufacturing,total,4400
2002-Q4,manufacturing,"professional, managers, executive and technicians",1100
2002-Q4,manufacturing,"clerical, sales and services workers",200
2002-Q4,manufacturing,"production and transport operators, cleaners and labourers",3100
2002-Q4,construction,total,600
2002-Q4,construction,"professional, managers, executive and technicians",100
2002-Q4,construction,"clerical, sales and services workers",-
2002-Q4,construction,"production and transport operators, cleaners and labourers",500
2002-Q4,services,total,7600
2002-Q4,services,"professional, managers, executive and technicians",2500
2002-Q4,services,"clerical, sales and services workers",3000
2002-Q4,services,"production and transport operators, cleaners and labourers",2100
2002-Q4,others,total,200
2002-Q4,others,"professional, managers, executive and technicians",200
2002-Q4,others,"clerical, sales and services workers",-
2002-Q4,others,"production and transport operators, cleaners and labourers",-
2003-Q1,total,total,12100
2003-Q1,total,"professional, managers, executive and technicians",3800
2003-Q1,total,"clerical, sales and services workers",3000
2003-Q1,total,"production and transport operators, cleaners and labourers",5300
2003-Q1,manufacturing,total,4100
2003-Q1,manufacturing,"professional, managers, executive and technicians",1100
2003-Q1,manufacturing,"clerical, sales and services workers",200
2003-Q1,manufacturing,"production and transport operators, cleaners and labourers",2800
2003-Q1,construction,total,500
2003-Q1,construction,"professional, managers, executive and technicians",100
2003-Q1,construction,"clerical, sales and services workers",-
2003-Q1,construction,"production and transport operators, cleaners and labourers",400
2003-Q1,services,total,7300
2003-Q1,services,"professional, managers, executive and technicians",2500
2003-Q1,services,"clerical, sales and services workers",2700
2003-Q1,services,"production and transport operators, cleaners and labourers",2100
2003-Q1,others,total,200
2003-Q1,others,"professional, managers, executive and technicians",200
2003-Q1,others,"clerical, sales and services workers",-
2003-Q1,others,"production and transport operators, cleaners and labourers",-
2003-Q2,total,total,12000
2003-Q2,total,"professional, managers, executive and technicians",4000
2003-Q2,total,"clerical, sales and services workers",2900
2003-Q2,total,"production and transport operators, cleaners and labourers",5100
2003-Q2,manufacturing,total,4300
2003-Q2,manufacturing,"professional, managers, executive and technicians",1200
2003-Q2,manufacturing,"clerical, sales and services workers",300
2003-Q2,manufacturing,"production and transport operators, cleaners and labourers",2800
2003-Q2,construction,total,700
2003-Q2,construction,"professional, managers, executive and technicians",100
2003-Q2,construction,"clerical, sales and services workers",-
2003-Q2,construction,"production and transport operators, cleaners and labourers",600
2003-Q2,services,total,6700
2003-Q2,services,"professional, managers, executive and technicians",2500
2003-Q2,services,"clerical, sales and services workers",2500
2003-Q2,services,"production and transport operators, cleaners and labourers",1700
2003-Q2,others,total,200
2003-Q2,others,"professional, managers, executive and technicians",200
2003-Q2,others,"clerical, sales and services workers",-
2003-Q2,others,"production and transport operators, cleaners and labourers",100
2003-Q3,total,total,13100
2003-Q3,total,"professional, managers, executive and technicians",3600
2003-Q3,total,"clerical, sales and services workers",3800
2003-Q3,total,"production and transport operators, cleaners and labourers",5700
2003-Q3,manufacturing,total,4500
2003-Q3,manufacturing,"professional, managers, executive and technicians",1100
2003-Q3,manufacturing,"clerical, sales and services workers",200
2003-Q3,manufacturing,"production and transport operators, cleaners and labourers",3200
2003-Q3,construction,total,600
2003-Q3,construction,"professional, managers, executive and technicians",100
2003-Q3,construction,"clerical, sales and services workers",-
2003-Q3,construction,"production and transport operators, cleaners and labourers",400
2003-Q3,services,total,7700
2003-Q3,services,"professional, managers, executive and technicians",2200
2003-Q3,services,"clerical, sales and services workers",3600
2003-Q3,services,"production and transport operators, cleaners and labourers",2000
2003-Q3,others,total,300
2003-Q3,others,"professional, managers, executive and technicians",200
2003-Q3,others,"clerical, sales and services workers",-
2003-Q3,others,"production and transport operators, cleaners and labourers",200
2003-Q4,total,total,13100
2003-Q4,total,"professional, managers, executive and technicians",4300
2003-Q4,total,"clerical, sales and services workers",4200
2003-Q4,total,"production and transport operators, cleaners and labourers",4600
2003-Q4,manufacturing,total,4100
2003-Q4,manufacturing,"professional, managers, executive and technicians",1200
2003-Q4,manufacturing,"clerical, sales and services workers",300
2003-Q4,manufacturing,"production and transport operators, cleaners and labourers",2600
2003-Q4,construction,total,400
2003-Q4,construction,"professional, managers, executive and technicians",200
2003-Q4,construction,"clerical, sales and services workers",100
2003-Q4,construction,"production and transport operators, cleaners and labourers",200
2003-Q4,services,total,8200
2003-Q4,services,"professional, managers, executive and technicians",2600
2003-Q4,services,"clerical, sales and services workers",3800
2003-Q4,services,"production and transport operators, cleaners and labourers",1800
2003-Q4,others,total,300
2003-Q4,others,"professional, managers, executive and technicians",200
2003-Q4,others,"clerical, sales and services workers",-
2003-Q4,others,"production and transport operators, cleaners and labourers",100
2004-Q1,total,total,15400
2004-Q1,total,"professional, managers, executive and technicians",4800
2004-Q1,total,"clerical, sales and services workers",4200
2004-Q1,total,"production and transport operators, cleaners and labourers",6300
2004-Q1,manufacturing,total,6200
2004-Q1,manufacturing,"professional, managers, executive and technicians",1700
2004-Q1,manufacturing,"clerical, sales and services workers",400
2004-Q1,manufacturing,"production and transport operators, cleaners and labourers",4100
2004-Q1,construction,total,300
2004-Q1,construction,"professional, managers, executive and technicians",200
2008-Q1,others,total,400
2004-Q1,construction,"production and transport operators, cleaners and labourers",100
2004-Q1,services,total,8600
2004-Q1,services,"professional, managers, executive and technicians",2800
2004-Q1,services,"clerical, sales and services workers",3800
2004-Q1,services,"production and transport operators, cleaners and labourers",2000
2004-Q1,others,total,300
2004-Q1,others,"professional, managers, executive and technicians",200
2004-Q1,others,"clerical, sales and services workers",-
2004-Q1,others,"production and transport operators, cleaners and labourers",100
2004-Q2,total,total,15400
2004-Q2,total,"professional, managers, executive and technicians",5400
2004-Q2,total,"clerical, sales and services workers",3800
2004-Q2,total,"production and transport operators, cleaners and labourers",6200
2004-Q2,manufacturing,total,4700
2004-Q2,manufacturing,"professional, managers, executive and technicians",1500
2004-Q2,manufacturing,"clerical, sales and services workers",400
2004-Q2,manufacturing,"production and transport operators, cleaners and labourers",2800
2004-Q2,construction,total,800
2004-Q2,construction,"professional, managers, executive and technicians",200
2004-Q2,construction,"clerical, sales and services workers",100
2004-Q2,construction,"production and transport operators, cleaners and labourers",500
2004-Q2,services,total,9700
2004-Q2,services,"professional, managers, executive and technicians",3500
2004-Q2,services,"clerical, sales and services workers",3300
2004-Q2,services,"production and transport operators, cleaners and labourers",2800
2004-Q2,others,total,300
2004-Q2,others,"professional, managers, executive and technicians",200
2004-Q2,others,"clerical, sales and services workers",-
2004-Q2,others,"production and transport operators, cleaners and labourers",100
2004-Q3,total,total,18900
2004-Q3,total,"professional, managers, executive and technicians",6200
2004-Q3,total,"clerical, sales and services workers",5200
2004-Q3,total,"production and transport operators, cleaners and labourers",7400
2004-Q3,manufacturing,total,5600
2004-Q3,manufacturing,"professional, managers, executive and technicians",1800
2004-Q3,manufacturing,"clerical, sales and services workers",300
2004-Q3,manufacturing,"production and transport operators, cleaners and labourers",3500
2004-Q3,construction,total,1000
2004-Q3,construction,"professional, managers, executive and technicians",200
2004-Q3,construction,"clerical, sales and services workers",-
2004-Q3,construction,"production and transport operators, cleaners and labourers",800
2004-Q3,services,total,12100
2004-Q3,services,"professional, managers, executive and technicians",4100
2004-Q3,services,"clerical, sales and services workers",4900
2004-Q3,services,"production and transport operators, cleaners and labourers",3000
2004-Q3,others,total,200
2004-Q3,others,"professional, managers, executive and technicians",100
2004-Q3,others,"clerical, sales and services workers",-
2004-Q3,others,"production and transport operators, cleaners and labourers",100
2004-Q4,total,total,16200
2004-Q4,total,"professional, managers, executive and technicians",5800
2004-Q4,total,"clerical, sales and services workers",4600
2004-Q4,total,"production and transport operators, cleaners and labourers",5900
2004-Q4,manufacturing,total,5200
2004-Q4,manufacturing,"professional, managers, executive and technicians",1700
2004-Q4,manufacturing,"clerical, sales and services workers",400
2004-Q4,manufacturing,"production and transport operators, cleaners and labourers",3200
2004-Q4,construction,total,400
2004-Q4,construction,"professional, managers, executive and technicians",100
2004-Q4,construction,"clerical, sales and services workers",-
2004-Q4,construction,"production and transport operators, cleaners and labourers",300
2004-Q4,services,total,10400
2004-Q4,services,"professional, managers, executive and technicians",3900
2004-Q4,services,"clerical, sales and services workers",4200
2004-Q4,services,"production and transport operators, cleaners and labourers",2300
2004-Q4,others,total,300
2004-Q4,others,"professional, managers, executive and technicians",100
2004-Q4,others,"clerical, sales and services workers",-
2004-Q4,others,"production and transport operators, cleaners and labourers",100
2005-Q1,total,total,17500
2005-Q1,total,"professional, managers, executive and technicians",6300
2005-Q1,total,"clerical, sales and services workers",5500
2005-Q1,total,"production and transport operators, cleaners and labourers",5800
2005-Q1,manufacturing,total,5600
2005-Q1,manufacturing,"professional, managers, executive and technicians",2300
2005-Q1,manufacturing,"clerical, sales and services workers",500
2005-Q1,manufacturing,"production and transport operators, cleaners and labourers",2900
2005-Q1,construction,total,500
2005-Q1,construction,"professional, managers, executive and technicians",200
2005-Q1,construction,"clerical, sales and services workers",-
2005-Q1,construction,"production and transport operators, cleaners and labourers",200
2005-Q1,services,total,11200
2005-Q1,services,"professional, managers, executive and technicians",3700
2005-Q1,services,"clerical, sales and services workers",5000
2005-Q1,services,"production and transport operators, cleaners and labourers",2500
2005-Q1,others,total,200
2005-Q1,others,"professional, managers, executive and technicians",-
2005-Q1,others,"clerical, sales and services workers",-
2005-Q1,others,"production and transport operators, cleaners and labourers",200
2005-Q2,total,total,19200
2005-Q2,total,"professional, managers, executive and technicians",7000
2005-Q2,total,"clerical, sales and services workers",5300
2005-Q2,total,"production and transport operators, cleaners and labourers",6900
2005-Q2,manufacturing,total,6800
