quarter,industry1,industry2,occupation1,job_vacancy
1998-Q3,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",200
1998-Q3,manufacturing,fabricated metal products,total,400
1998-Q3,manufacturing,fabricated metal products,"professional, managers, executive and technicians",-
1998-Q3,manufacturing,fabricated metal products,"clerical, sales and services workers",-
1998-Q3,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",300
1998-Q3,manufacturing,machinery and equipment,total,400
1998-Q3,manufacturing,machinery and equipment,"professional, managers, executive and technicians",100
1998-Q3,manufacturing,machinery and equipment,"clerical, sales and services workers",-
1998-Q3,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",300
1998-Q3,manufacturing,electrical products,total,-
1998-Q3,manufacturing,electrical products,"professional, managers, executive and technicians",-
1998-Q3,manufacturing,electrical products,"clerical, sales and services workers",-
1998-Q3,manufacturing,electrical products,"production and transport operators, cleaners and labourers",-
1998-Q3,manufacturing,electronic products,total,1200
1998-Q3,manufacturing,electronic products,"professional, managers, executive and technicians",600
1998-Q3,manufacturing,electronic products,"clerical, sales and services workers",-
1998-Q3,manufacturing,electronic products,"production and transport operators, cleaners and labourers",600
1998-Q3,manufacturing,medical and precision instruments,total,-
1998-Q3,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",-
1998-Q3,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
1998-Q3,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",-
1998-Q3,manufacturing,transport equipment,total,800
1998-Q3,manufacturing,transport equipment,"professional, managers, executive and technicians",200
1998-Q3,manufacturing,transport equipment,"clerical, sales and services workers",100
1998-Q3,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",600
1998-Q3,manufacturing,other manufacturing industries,total,100
1998-Q3,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
1998-Q3,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
1998-Q3,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",100
1998-Q3,construction,construction,total,2600
1998-Q3,construction,construction,"professional, managers, executive and technicians",200
1998-Q3,construction,construction,"clerical, sales and services workers",100
1998-Q3,construction,construction,"production and transport operators, cleaners and labourers",2300
1998-Q3,services,wholesale and retail trade,total,1500
1998-Q3,services,wholesale and retail trade,"professional, managers, executive and technicians",400
1998-Q3,services,wholesale and retail trade,"clerical, sales and services workers",900
1998-Q3,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",300
1998-Q3,services,hotels and restaurants,total,1100
1998-Q3,services,hotels and restaurants,"professional, managers, executive and technicians",100
1998-Q3,services,hotels and restaurants,"clerical, sales and services workers",900
1998-Q3,services,hotels and restaurants,"production and transport operators, cleaners and labourers",200
1998-Q3,services,"transport, storage and communications",total,2000
1998-Q3,services,"transport, storage and communications","professional, managers, executive and technicians",500
1998-Q3,services,"transport, storage and communications","clerical, sales and services workers",1100
1998-Q3,services,"transport, storage and communications","production and transport operators, cleaners and labourers",400
1998-Q3,services,financial intermediation,total,800
1998-Q3,services,financial intermediation,"professional, managers, executive and technicians",500
1998-Q3,services,financial intermediation,"clerical, sales and services workers",300
1998-Q3,services,financial intermediation,"production and transport operators, cleaners and labourers",-
1998-Q3,services,business and real estate services,total,1400
1998-Q3,services,business and real estate services,"professional, managers, executive and technicians",600
1998-Q3,services,business and real estate services,"clerical, sales and services workers",600
1998-Q3,services,business and real estate services,"production and transport operators, cleaners and labourers",300
1998-Q3,services,"community, social and personal services",total,1800
1998-Q3,services,"community, social and personal services","professional, managers, executive and technicians",900
1998-Q3,services,"community, social and personal services","clerical, sales and services workers",800
1998-Q3,services,"community, social and personal services","production and transport operators, cleaners and labourers",200
1998-Q3,others,others,total,-
1998-Q3,others,others,"professional, managers, executive and technicians",-
1998-Q3,others,others,"clerical, sales and services workers",-
1998-Q3,others,others,"production and transport operators, cleaners and labourers",-
1998-Q4,total,total,total,12600
1998-Q4,total,total,"professional, managers, executive and technicians",3900
1998-Q4,total,total,"clerical, sales and services workers",4100
1998-Q4,total,total,"production and transport operators, cleaners and labourers",4600
1998-Q4,manufacturing,"food, beverages and tobacco",total,100
1998-Q4,services,financial intermediation,total,600
1998-Q4,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
1998-Q4,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",-
1998-Q4,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",100
1998-Q4,manufacturing,textile and wearing apparel,total,300
1998-Q4,manufacturing,textile and wearing apparel,"professional, managers, executive and technicians",-
1998-Q4,manufacturing,textile and wearing apparel,"clerical, sales and services workers",-
1998-Q4,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",300
1998-Q4,manufacturing,paper products and publishing,total,300
1998-Q4,manufacturing,paper products and publishing,"professional, managers, executive and technicians",100
1998-Q4,manufacturing,paper products and publishing,"clerical, sales and services workers",-
1998-Q4,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",200
1998-Q4,manufacturing,petroleum and chemical products,total,100
1998-Q4,manufacturing,petroleum and chemical products,"professional, managers, executive and technicians",-
1998-Q4,manufacturing,petroleum and chemical products,"clerical, sales and services workers",-
1998-Q4,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",-
1998-Q4,manufacturing,rubber and plastic products,total,300
1998-Q4,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",100
1998-Q4,manufacturing,rubber and plastic products,"clerical, sales and services workers",100
1998-Q4,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",200
1998-Q4,manufacturing,fabricated metal products,total,200
1998-Q4,manufacturing,fabricated metal products,"professional, managers, executive and technicians",100
1998-Q4,manufacturing,fabricated metal products,"clerical, sales and services workers",-
1998-Q4,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",200
1998-Q4,manufacturing,machinery and equipment,total,200
1998-Q4,manufacturing,machinery and equipment,"professional, managers, executive and technicians",100
1998-Q4,manufacturing,machinery and equipment,"clerical, sales and services workers",-
1998-Q4,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",100
1998-Q4,manufacturing,electrical products,total,-
1998-Q4,manufacturing,electrical products,"professional, managers, executive and technicians",-
1998-Q4,manufacturing,electrical products,"clerical, sales and services workers",-
1998-Q4,manufacturing,electrical products,"production and transport operators, cleaners and labourers",-
1998-Q4,manufacturing,electronic products,total,1300
1998-Q4,manufacturing,electronic products,"professional, managers, executive and technicians",500
1998-Q4,manufacturing,electronic products,"clerical, sales and services workers",100
1998-Q4,manufacturing,electronic products,"production and transport operators, cleaners and labourers",800
1998-Q4,manufacturing,medical and precision instruments,total,100
1998-Q4,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",-
1998-Q4,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
1998-Q4,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",-
1998-Q4,manufacturing,transport equipment,total,800
1998-Q4,manufacturing,transport equipment,"professional, managers, executive and technicians",200
1998-Q4,manufacturing,transport equipment,"clerical, sales and services workers",-
1998-Q4,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",600
1998-Q4,manufacturing,other manufacturing industries,total,100
1998-Q4,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
1998-Q4,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
1998-Q4,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",100
1998-Q4,construction,construction,total,1200
1998-Q4,construction,construction,"professional, managers, executive and technicians",200
1998-Q4,construction,construction,"clerical, sales and services workers",100
1998-Q4,construction,construction,"production and transport operators, cleaners and labourers",1000
1998-Q4,services,wholesale and retail trade,total,900
1998-Q4,services,wholesale and retail trade,"professional, managers, executive and technicians",400
1998-Q4,services,wholesale and retail trade,"clerical, sales and services workers",400
1998-Q4,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",100
1998-Q4,services,hotels and restaurants,total,1000
1998-Q4,services,hotels and restaurants,"professional, managers, executive and technicians",100
1998-Q4,services,hotels and restaurants,"clerical, sales and services workers",800
1998-Q4,services,hotels and restaurants,"production and transport operators, cleaners and labourers",100
1998-Q4,services,"transport, storage and communications",total,1900
1998-Q4,services,"transport, storage and communications","professional, managers, executive and technicians",300
1998-Q4,services,"transport, storage and communications","clerical, sales and services workers",1200
1998-Q4,services,"transport, storage and communications","production and transport operators, cleaners and labourers",400
1998-Q4,services,financial intermediation,"professional, managers, executive and technicians",400
1998-Q4,services,financial intermediation,"clerical, sales and services workers",200
1998-Q4,services,financial intermediation,"production and transport operators, cleaners and labourers",-
1998-Q4,services,business and real estate services,total,1400
1998-Q4,services,business and real estate services,"professional, managers, executive and technicians",600
1998-Q4,services,business and real estate services,"clerical, sales and services workers",600
1998-Q4,services,business and real estate services,"production and transport operators, cleaners and labourers",200
1998-Q4,services,"community, social and personal services",total,1600
1998-Q4,services,"community, social and personal services","professional, managers, executive and technicians",800
1998-Q4,services,"community, social and personal services","clerical, sales and services workers",600
1998-Q4,services,"community, social and personal services","production and transport operators, cleaners and labourers",200
1998-Q4,others,others,total,100
1998-Q4,others,others,"professional, managers, executive and technicians",-
1998-Q4,others,others,"clerical, sales and services workers",-
1998-Q4,others,others,"production and transport operators, cleaners and labourers",100
1999-Q1,total,total,total,16800
1999-Q1,total,total,"professional, managers, executive and technicians",4600
1999-Q1,total,total,"clerical, sales and services workers",5700
1999-Q1,total,total,"production and transport operators, cleaners and labourers",6500
1999-Q1,manufacturing,"food, beverages and tobacco",total,-
1999-Q1,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
1999-Q1,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",-
1999-Q1,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",-
1999-Q1,manufacturing,textile and wearing apparel,total,300
1999-Q1,manufacturing,textile and wearing apparel,"professional, managers, executive and technicians",-
1999-Q1,manufacturing,textile and wearing apparel,"clerical, sales and services workers",-
1999-Q1,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",300
1999-Q1,manufacturing,paper products and publishing,total,200
1999-Q1,manufacturing,paper products and publishing,"professional, managers, executive and technicians",-
1999-Q1,manufacturing,paper products and publishing,"clerical, sales and services workers",-
1999-Q1,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",200
1999-Q1,manufacturing,petroleum and chemical products,total,100
1999-Q1,manufacturing,petroleum and chemical products,"professional, managers, executive and technicians",100
1999-Q1,manufacturing,petroleum and chemical products,"clerical, sales and services workers",-
1999-Q1,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",100
1999-Q1,manufacturing,rubber and plastic products,total,400
1999-Q1,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",100
1999-Q1,manufacturing,rubber and plastic products,"clerical, sales and services workers",-
1999-Q1,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",300
1999-Q1,manufacturing,fabricated metal products,total,300
1999-Q1,manufacturing,fabricated metal products,"professional, managers, executive and technicians",100
1999-Q1,manufacturing,fabricated metal products,"clerical, sales and services workers",-
1999-Q1,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",200
1999-Q1,manufacturing,machinery and equipment,total,400
1999-Q1,manufacturing,machinery and equipment,"professional, managers, executive and technicians",100
1999-Q1,manufacturing,machinery and equipment,"clerical, sales and services workers",-
1999-Q1,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",300
1999-Q1,manufacturing,electrical products,total,100
1999-Q1,manufacturing,electrical products,"professional, managers, executive and technicians",-
1999-Q1,manufacturing,electrical products,"clerical, sales and services workers",-
1999-Q1,manufacturing,electrical products,"production and transport operators, cleaners and labourers",-
1999-Q1,manufacturing,electronic products,total,1600
1999-Q1,manufacturing,electronic products,"professional, managers, executive and technicians",600
1999-Q1,manufacturing,electronic products,"clerical, sales and services workers",100
1999-Q1,manufacturing,electronic products,"production and transport operators, cleaners and labourers",900
1999-Q1,manufacturing,medical and precision instruments,total,100
1999-Q1,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",-
1999-Q1,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
1999-Q1,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",-
1999-Q1,manufacturing,transport equipment,total,600
1999-Q1,manufacturing,transport equipment,"professional, managers, executive and technicians",100
1999-Q1,manufacturing,transport equipment,"clerical, sales and services workers",-
1999-Q1,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",500
1999-Q1,manufacturing,other manufacturing industries,total,100
1999-Q1,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
1999-Q1,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
1999-Q1,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",100
1999-Q1,construction,construction,total,2600
1999-Q1,construction,construction,"professional, managers, executive and technicians",200
1999-Q1,construction,construction,"clerical, sales and services workers",100
1999-Q1,construction,construction,"production and transport operators, cleaners and labourers",2300
1999-Q1,services,wholesale and retail trade,total,2100
1999-Q1,services,wholesale and retail trade,"professional, managers, executive and technicians",500
1999-Q1,services,wholesale and retail trade,"clerical, sales and services workers",1200
1999-Q1,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",400
1999-Q1,services,hotels and restaurants,total,1100
1999-Q1,services,hotels and restaurants,"professional, managers, executive and technicians",200
1999-Q1,services,hotels and restaurants,"clerical, sales and services workers",800
1999-Q1,services,hotels and restaurants,"production and transport operators, cleaners and labourers",100
1999-Q1,services,"transport, storage and communications",total,2400
1999-Q1,services,"transport, storage and communications","professional, managers, executive and technicians",500
1999-Q1,services,"transport, storage and communications","clerical, sales and services workers",1500
1999-Q1,services,"transport, storage and communications","production and transport operators, cleaners and labourers",400
1999-Q1,services,financial intermediation,total,600
1999-Q1,services,financial intermediation,"professional, managers, executive and technicians",400
1999-Q1,services,financial intermediation,"clerical, sales and services workers",200
1999-Q1,services,financial intermediation,"production and transport operators, cleaners and labourers",-
1999-Q1,services,business and real estate services,total,1700
1999-Q1,services,business and real estate services,"professional, managers, executive and technicians",800
1999-Q1,services,business and real estate services,"clerical, sales and services workers",700
1999-Q1,services,business and real estate services,"production and transport operators, cleaners and labourers",300
1999-Q1,services,"community, social and personal services",total,2000
1999-Q1,services,"community, social and personal services","professional, managers, executive and technicians",900
1999-Q1,services,"community, social and personal services","clerical, sales and services workers",900
1999-Q1,services,"community, social and personal services","production and transport operators, cleaners and labourers",200
1999-Q1,others,others,total,-
1999-Q1,others,others,"professional, managers, executive and technicians",-
1999-Q1,others,others,"clerical, sales and services workers",-
1999-Q1,others,others,"production and transport operators, cleaners and labourers",-
1999-Q2,total,total,total,19300
1999-Q2,total,total,"professional, managers, executive and technicians",6600
1999-Q2,total,total,"clerical, sales and services workers",6100
1999-Q2,total,total,"production and transport operators, cleaners and labourers",6600
1999-Q2,manufacturing,"food, beverages and tobacco",total,100
1999-Q2,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",-
1999-Q2,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",100
1999-Q2,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",-
1999-Q2,manufacturing,textile and wearing apparel,total,300
1999-Q2,manufacturing,textile and wearing apparel,"professional, managers, executive and technicians",-
1999-Q2,manufacturing,textile and wearing apparel,"clerical, sales and services workers",-
1999-Q2,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",200
1999-Q2,manufacturing,paper products and publishing,total,500
