quarter,industry1,industry2,industry3,occupation1,resignation_rate
1998-Q1,services,wholesale and retail trade,wholesale trade,total,2.4
1998-Q1,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.5
1998-Q1,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",3.5
1998-Q1,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",2.3
1998-Q1,services,wholesale and retail trade,retail trade,total,6.4
1998-Q1,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",2.1
1998-Q1,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",8.1
1998-Q1,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",3.3
1998-Q1,services,hotels and restaurants,hotels,total,3.5
1998-Q1,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",2.7
1998-Q1,services,hotels and restaurants,hotels,"clerical, sales and services workers",3.8
1998-Q1,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",3.4
1998-Q1,services,hotels and restaurants,restaurants,total,5.8
1998-Q1,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",2.7
1998-Q1,services,hotels and restaurants,restaurants,"clerical, sales and services workers",6.3
1998-Q1,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",5.6
1998-Q1,services,"transport, storage and communications","transport, storage and communications",total,1.7
1998-Q1,services,"transport, storage and communications","transport, storage and communications","professional, managers, executive and technicians",1
1998-Q1,services,"transport, storage and communications","transport, storage and communications","clerical, sales and services workers",2
1998-Q1,services,"transport, storage and communications","transport, storage and communications","production and transport operators, cleaners and labourers",2
1998-Q1,services,financial intermediation,financial institutions,total,1.7
1998-Q1,services,financial intermediation,financial institutions,"professional, managers, executive and technicians",1.3
1998-Q1,services,financial intermediation,financial institutions,"clerical, sales and services workers",2.2
1998-Q1,services,financial intermediation,financial institutions,"production and transport operators, cleaners and labourers",0.7
1998-Q1,services,financial intermediation,insurance and pension funding,total,1.7
1998-Q1,services,financial intermediation,insurance and pension funding,"professional, managers, executive and technicians",1.3
1998-Q1,services,financial intermediation,insurance and pension funding,"clerical, sales and services workers",2.1
1998-Q1,services,financial intermediation,insurance and pension funding,"production and transport operators, cleaners and labourers",5.9
1998-Q1,services,business and real estate services,business and real estate services,total,2.8
1998-Q1,services,business and real estate services,business and real estate services,"professional, managers, executive and technicians",1.9
1998-Q1,services,business and real estate services,business and real estate services,"clerical, sales and services workers",4.1
1998-Q1,services,business and real estate services,business and real estate services,"production and transport operators, cleaners and labourers",2.8
1998-Q1,services,"community, social and personal services","community, social and personal services",total,2.4
1998-Q1,services,"community, social and personal services","community, social and personal services","professional, managers, executive and technicians",2
1998-Q1,services,"community, social and personal services","community, social and personal services","clerical, sales and services workers",3
1998-Q1,services,"community, social and personal services","community, social and personal services","production and transport operators, cleaners and labourers",2.4
1998-Q1,others,others,others,total,1.9
1998-Q1,others,others,others,"professional, managers, executive and technicians",1.5
1998-Q1,others,others,others,"clerical, sales and services workers",1.7
1998-Q1,others,others,others,"production and transport operators, cleaners and labourers",2
1998-Q2,total,total,total,total,2.2
1998-Q2,total,total,total,"professional, managers, executive and technicians",1.6
1998-Q2,total,total,total,"clerical, sales and services workers",3
1998-Q2,total,total,total,"production and transport operators, cleaners and labourers",2.2
1998-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,3.5
1998-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",1.6
1998-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",5.6
1998-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",2.4
1998-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,total,2.5
1998-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,"professional, managers, executive and technicians",1.7
1998-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,"clerical, sales and services workers",4.1
1998-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,"production and transport operators, cleaners and labourers",2.1
1998-Q2,manufacturing,paper products and publishing,paper products and publishing,total,1.9
1998-Q2,manufacturing,paper products and publishing,paper products and publishing,"professional, managers, executive and technicians",1.7
1998-Q2,manufacturing,paper products and publishing,paper products and publishing,"clerical, sales and services workers",2.6
1998-Q2,manufacturing,paper products and publishing,paper products and publishing,"production and transport operators, cleaners and labourers",1.7
1998-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,total,1.4
1998-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,"professional, managers, executive and technicians",1.1
1998-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,"clerical, sales and services workers",1.2
1998-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,"production and transport operators, cleaners and labourers",1.7
1998-Q2,manufacturing,rubber and plastic products,rubber and plastic products,total,3
1998-Q2,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",1.9
1998-Q2,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",2.6
1998-Q2,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",3.2
1998-Q2,manufacturing,fabricated metal products,fabricated metal products,total,2.4
1998-Q2,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",1.6
1998-Q2,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",2.9
1998-Q2,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",2.6
1998-Q2,manufacturing,machinery and equipment,machinery and equipment,total,1.8
1998-Q2,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",1.7
1998-Q2,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",2.2
1998-Q2,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",1.8
1998-Q2,manufacturing,electrical products,electrical products,total,1.6
1998-Q2,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",1.1
1998-Q2,manufacturing,electrical products,electrical products,"clerical, sales and services workers",2.2
1998-Q2,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",1.7
1998-Q2,manufacturing,electronic products,electronic products,total,2
1998-Q2,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",1.5
1998-Q2,manufacturing,electronic products,electronic products,"clerical, sales and services workers",2
1998-Q2,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",2.2
1998-Q2,manufacturing,medical and precision instruments,medical and precision instruments,total,1.5
1998-Q2,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",1.2
1998-Q2,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",1.8
1998-Q2,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",1.6
1998-Q2,manufacturing,transport equipment,transport equipment,total,1.9
1998-Q2,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",1
1998-Q2,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",1.4
1998-Q2,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",2.2
1998-Q2,manufacturing,other manufacturing industries,other manufacturing industries,total,1.6
1998-Q2,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.7
1998-Q2,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",2.1
1998-Q2,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1.5
1998-Q2,construction,construction,construction,total,2.2
1998-Q2,construction,construction,construction,"professional, managers, executive and technicians",2.1
1998-Q2,construction,construction,construction,"clerical, sales and services workers",3.2
1998-Q2,construction,construction,construction,"production and transport operators, cleaners and labourers",2.1
1998-Q2,services,wholesale and retail trade,wholesale trade,total,2.1
1998-Q2,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.5
1998-Q2,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",2.9
1998-Q2,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",2.1
1998-Q2,services,wholesale and retail trade,retail trade,total,4.5
1998-Q2,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",1.6
1998-Q2,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",5.6
1998-Q2,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",2.5
1998-Q2,services,hotels and restaurants,hotels,total,3.1
1998-Q2,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",2.7
1998-Q2,services,hotels and restaurants,hotels,"clerical, sales and services workers",3.2
1998-Q2,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",2.9
1998-Q2,services,hotels and restaurants,restaurants,total,4.6
1998-Q2,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",2
1998-Q2,services,hotels and restaurants,restaurants,"clerical, sales and services workers",4.8
1998-Q2,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",5.8
1998-Q2,services,"transport, storage and communications","transport, storage and communications",total,1.7
1998-Q2,services,"transport, storage and communications","transport, storage and communications","professional, managers, executive and technicians",1.1
1998-Q2,services,"transport, storage and communications","transport, storage and communications","clerical, sales and services workers",1.7
1998-Q2,services,"transport, storage and communications","transport, storage and communications","production and transport operators, cleaners and labourers",2
1998-Q2,services,financial intermediation,financial institutions,total,1.4
1998-Q2,services,financial intermediation,financial institutions,"professional, managers, executive and technicians",1.3
1998-Q2,services,financial intermediation,financial institutions,"clerical, sales and services workers",1.7
1998-Q2,services,financial intermediation,financial institutions,"production and transport operators, cleaners and labourers",0.7
1998-Q2,services,financial intermediation,insurance and pension funding,total,1.4
1998-Q2,services,financial intermediation,insurance and pension funding,"professional, managers, executive and technicians",1.3
1998-Q2,services,financial intermediation,insurance and pension funding,"clerical, sales and services workers",1.4
1998-Q2,services,financial intermediation,insurance and pension funding,"production and transport operators, cleaners and labourers",3.6
1998-Q2,services,business and real estate services,business and real estate services,total,2.8
1998-Q2,services,business and real estate services,business and real estate services,"professional, managers, executive and technicians",2.2
1998-Q2,services,business and real estate services,business and real estate services,"clerical, sales and services workers",3.6
1998-Q2,services,business and real estate services,business and real estate services,"production and transport operators, cleaners and labourers",3.2
1998-Q2,services,"community, social and personal services","community, social and personal services",total,2.2
1998-Q2,services,"community, social and personal services","community, social and personal services","professional, managers, executive and technicians",1.9
1998-Q2,services,"community, social and personal services","community, social and personal services","clerical, sales and services workers",2.5
1998-Q2,services,"community, social and personal services","community, social and personal services","production and transport operators, cleaners and labourers",2.5
1998-Q2,others,others,others,total,2
1998-Q2,others,others,others,"professional, managers, executive and technicians",1.3
1998-Q2,others,others,others,"clerical, sales and services workers",2.7
1998-Q2,others,others,others,"production and transport operators, cleaners and labourers",2
1998-Q3,total,total,total,total,1.9
1998-Q3,total,total,total,"professional, managers, executive and technicians",1.3
1998-Q3,total,total,total,"clerical, sales and services workers",2.5
1998-Q3,total,total,total,"production and transport operators, cleaners and labourers",1.8
1998-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,2.9
1998-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",1.4
1998-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",4.7
1998-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",2.1
1998-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,total,1.9
1998-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,"professional, managers, executive and technicians",1.1
1998-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,"clerical, sales and services workers",3.4
1998-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,"production and transport operators, cleaners and labourers",1.6
1998-Q3,manufacturing,paper products and publishing,paper products and publishing,total,1.7
1998-Q3,manufacturing,paper products and publishing,paper products and publishing,"professional, managers, executive and technicians",1.3
1998-Q3,manufacturing,paper products and publishing,paper products and publishing,"clerical, sales and services workers",1.9
1998-Q3,manufacturing,paper products and publishing,paper products and publishing,"production and transport operators, cleaners and labourers",1.8
1998-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,total,0.9
1998-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,"professional, managers, executive and technicians",0.8
1998-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,"clerical, sales and services workers",1
1998-Q3,manufacturing,petroleum and chemical products,petroleum and chemical products,"production and transport operators, cleaners and labourers",1
1998-Q3,manufacturing,rubber and plastic products,rubber and plastic products,total,2
1998-Q3,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",1.6
1998-Q3,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",1.8
1998-Q3,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",2.1
1998-Q3,manufacturing,fabricated metal products,fabricated metal products,total,2.2
1998-Q3,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",1.9
1998-Q3,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",2.3
1998-Q3,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",2.3
1998-Q3,manufacturing,machinery and equipment,machinery and equipment,total,1.5
1998-Q3,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",1.2
1998-Q3,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",1.6
1998-Q3,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",1.5
1998-Q3,manufacturing,electrical products,electrical products,total,1.3
1998-Q3,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",1.3
1998-Q3,manufacturing,electrical products,electrical products,"clerical, sales and services workers",1
1998-Q3,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",1.3
1998-Q3,manufacturing,electronic products,electronic products,total,1.4
1998-Q3,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",1.2
1998-Q3,manufacturing,electronic products,electronic products,"clerical, sales and services workers",1.6
1998-Q3,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",1.4
1998-Q3,manufacturing,medical and precision instruments,medical and precision instruments,total,1.2
1998-Q3,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",1.3
1998-Q3,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",0.9
1998-Q3,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",1.2
1998-Q3,manufacturing,transport equipment,transport equipment,total,1.4
1998-Q3,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",0.9
1998-Q3,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",0.8
1998-Q3,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",1.5
1998-Q3,manufacturing,other manufacturing industries,other manufacturing industries,total,1.7
1998-Q3,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.4
1998-Q3,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",1.6
1998-Q3,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1.8
1998-Q3,construction,construction,construction,total,1.9
1998-Q3,construction,construction,construction,"professional, managers, executive and technicians",1.8
1998-Q3,construction,construction,construction,"clerical, sales and services workers",2.3
1998-Q3,construction,construction,construction,"production and transport operators, cleaners and labourers",1.8
1998-Q3,services,wholesale and retail trade,wholesale trade,total,1.9
1998-Q3,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.2
1998-Q3,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",2.6
1998-Q3,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",1.8
1998-Q3,services,wholesale and retail trade,retail trade,total,3.7
1998-Q3,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",1.6
1998-Q3,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",4.5
1998-Q3,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",2
1998-Q3,services,hotels and restaurants,hotels,total,2.3
1998-Q3,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",2.1
1998-Q3,services,hotels and restaurants,hotels,"clerical, sales and services workers",2.3
1998-Q3,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",2.7
1998-Q3,services,hotels and restaurants,restaurants,total,3.7
1998-Q3,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",2
1998-Q3,services,hotels and restaurants,restaurants,"clerical, sales and services workers",4
1998-Q3,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",3.5
1998-Q3,services,"transport, storage and communications","transport, storage and communications",total,1.2
1998-Q3,services,"transport, storage and communications","transport, storage and communications","professional, managers, executive and technicians",0.7
1998-Q3,services,"transport, storage and communications","transport, storage and communications","clerical, sales and services workers",1.2
1998-Q3,services,"transport, storage and communications","transport, storage and communications","production and transport operators, cleaners and labourers",1.5
1998-Q3,services,financial intermediation,financial institutions,total,1.2
1998-Q3,services,financial intermediation,financial institutions,"professional, managers, executive and technicians",1.1
1998-Q3,services,financial intermediation,financial institutions,"clerical, sales and services workers",1.4
1998-Q3,services,financial intermediation,financial institutions,"production and transport operators, cleaners and labourers",1.3
1998-Q3,services,financial intermediation,insurance and pension funding,total,1.1
1998-Q3,services,financial intermediation,insurance and pension funding,"professional, managers, executive and technicians",0.9
1998-Q3,services,financial intermediation,insurance and pension funding,"clerical, sales and services workers",1.2
1998-Q3,services,financial intermediation,insurance and pension funding,"production and transport operators, cleaners and labourers",-
1998-Q3,services,business and real estate services,business and real estate services,total,2.8
1998-Q3,services,business and real estate services,business and real estate services,"professional, managers, executive and technicians",1.8
1998-Q3,services,business and real estate services,business and real estate services,"clerical, sales and services workers",3.6
1998-Q3,services,business and real estate services,business and real estate services,"production and transport operators, cleaners and labourers",4.1
1998-Q3,services,"community, social and personal services","community, social and personal services",total,1.9
1998-Q3,services,"community, social and personal services","community, social and personal services","professional, managers, executive and technicians",1.4
1998-Q3,services,"community, social and personal services","community, social and personal services","clerical, sales and services workers",2.3
1998-Q3,services,"community, social and personal services","community, social and personal services","production and transport operators, cleaners and labourers",2.5
1998-Q3,others,others,others,total,2.1
1998-Q3,others,others,others,"professional, managers, executive and technicians",1.7
1998-Q3,others,others,others,"clerical, sales and services workers",2.1
1998-Q3,others,others,others,"production and transport operators, cleaners and labourers",2.1
1998-Q4,total,total,total,total,1.7
1998-Q4,total,total,total,"professional, managers, executive and technicians",1.1
1998-Q4,total,total,total,"clerical, sales and services workers",2.2
1998-Q4,total,total,total,"production and transport operators, cleaners and labourers",1.8
1998-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,2.3
1998-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",1
1998-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",3.7
1998-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",1.7
1998-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,total,1.4
1998-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,"professional, managers, executive and technicians",0.6
1998-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,"clerical, sales and services workers",0.8
1998-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,"production and transport operators, cleaners and labourers",1.6
1998-Q4,manufacturing,paper products and publishing,paper products and publishing,total,1.1
1998-Q4,manufacturing,paper products and publishing,paper products and publishing,"professional, managers, executive and technicians",1
1998-Q4,manufacturing,paper products and publishing,paper products and publishing,"clerical, sales and services workers",0.9
1998-Q4,manufacturing,paper products and publishing,paper products and publishing,"production and transport operators, cleaners and labourers",1.1
1998-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,total,0.5
1998-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,"professional, managers, executive and technicians",0.6
1998-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,"clerical, sales and services workers",0.4
1998-Q4,manufacturing,petroleum and chemical products,petroleum and chemical products,"production and transport operators, cleaners and labourers",0.5
1998-Q4,manufacturing,rubber and plastic products,rubber and plastic products,total,1.7
1998-Q4,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",1.2
1998-Q4,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",1.1
1998-Q4,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",1.9
1998-Q4,manufacturing,fabricated metal products,fabricated metal products,total,1.7
1998-Q4,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",1.2
1998-Q4,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",1.2
1998-Q4,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",1.8
1998-Q4,manufacturing,machinery and equipment,machinery and equipment,total,1.6
1998-Q4,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",1.1
1998-Q4,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",1.3
1998-Q4,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",1.8
1998-Q4,manufacturing,electrical products,electrical products,total,0.9
1998-Q4,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",0.8
1998-Q4,manufacturing,electrical products,electrical products,"clerical, sales and services workers",1.1
1998-Q4,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",0.9
1998-Q4,manufacturing,electronic products,electronic products,total,0.9
1998-Q4,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",0.8
1998-Q4,manufacturing,electronic products,electronic products,"clerical, sales and services workers",0.7
1998-Q4,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",1
1998-Q4,manufacturing,medical and precision instruments,medical and precision instruments,total,0.8
1998-Q4,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",0.5
1998-Q4,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",0.6
1998-Q4,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",0.9
1998-Q4,manufacturing,transport equipment,transport equipment,total,1.4
1998-Q4,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",0.8
1998-Q4,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",0.5
1998-Q4,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",1.6
1998-Q4,manufacturing,other manufacturing industries,other manufacturing industries,total,1.5
1998-Q4,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.5
1998-Q4,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",2.3
1998-Q4,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1.4
