year,industry1,industry2,occupation1,resignation_rate
1998,manufacturing,electronic products,"production and transport operators, cleaners and labourers",1.8
1998,manufacturing,medical and precision instruments,total,1.4
1998,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",1.2
1998,manufacturing,medical and precision instruments,"clerical, sales and services workers",1.5
1998,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",1.4
1998,manufacturing,transport equipment,total,1.6
1998,manufacturing,transport equipment,"professional, managers, executive and technicians",1
1998,manufacturing,transport equipment,"clerical, sales and services workers",1.1
1998,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1.9
1998,manufacturing,other manufacturing industries,total,1.7
1998,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.7
1998,manufacturing,other manufacturing industries,"clerical, sales and services workers",2
1998,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1.6
1998,construction,construction,total,2.1
1998,construction,construction,"professional, managers, executive and technicians",1.8
1998,construction,construction,"clerical, sales and services workers",2.8
1998,construction,construction,"production and transport operators, cleaners and labourers",2.1
1998,services,wholesale and retail trade,total,2.6
1998,services,wholesale and retail trade,"professional, managers, executive and technicians",1.3
1998,services,wholesale and retail trade,"clerical, sales and services workers",3.9
1998,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",2
1998,services,hotels and restaurants,total,3.8
1998,services,hotels and restaurants,"professional, managers, executive and technicians",2.3
1998,services,hotels and restaurants,"clerical, sales and services workers",4.1
1998,services,hotels and restaurants,"production and transport operators, cleaners and labourers",3.4
1998,services,"transport, storage and communications",total,1.3
1998,services,"transport, storage and communications","professional, managers, executive and technicians",0.8
1998,services,"transport, storage and communications","clerical, sales and services workers",1.4
1998,services,"transport, storage and communications","production and transport operators, cleaners and labourers",1.6
1998,services,financial intermediation,total,1.3
1998,services,financial intermediation,"professional, managers, executive and technicians",1.1
1998,services,financial intermediation,"clerical, sales and services workers",1.5
1998,services,financial intermediation,"production and transport operators, cleaners and labourers",1.1
1998,services,business and real estate services,total,2.7
1998,services,business and real estate services,"professional, managers, executive and technicians",1.9
1998,services,business and real estate services,"clerical, sales and services workers",3.6
1998,services,business and real estate services,"production and transport operators, cleaners and labourers",3.3
1998,services,"community, social and personal services",total,2
1998,services,"community, social and personal services","professional, managers, executive and technicians",1.6
1998,services,"community, social and personal services","clerical, sales and services workers",2.4
1998,services,"community, social and personal services","production and transport operators, cleaners and labourers",2.2
1998,others,others,total,1.8
1998,others,others,"professional, managers, executive and technicians",1.6
1998,others,others,"clerical, sales and services workers",2
1998,others,others,"production and transport operators, cleaners and labourers",1.8
1999,total,total,total,2.2
1999,total,total,"professional, managers, executive and technicians",1.6
1999,total,total,"clerical, sales and services workers",2.9
1999,total,total,"production and transport operators, cleaners and labourers",2.1
1999,manufacturing,"food, beverages and tobacco",total,2.9
1999,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.4
1999,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",4.1
1999,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.5
1999,manufacturing,textile and wearing apparel,total,1.8
1999,manufacturing,textile and wearing apparel,"professional, managers, executive and technicians",0.5
1999,manufacturing,textile and wearing apparel,"clerical, sales and services workers",1.8
1999,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",1.9
1999,manufacturing,paper products and publishing,total,1.8
1999,manufacturing,paper products and publishing,"professional, managers, executive and technicians",1.4
1999,manufacturing,paper products and publishing,"clerical, sales and services workers",2.2
1999,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",1.9
1999,manufacturing,petroleum and chemical products,total,1
1999,manufacturing,petroleum and chemical products,"professional, managers, executive and technicians",1
1999,manufacturing,petroleum and chemical products,"clerical, sales and services workers",1
1999,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",1
1999,manufacturing,rubber and plastic products,total,2.7
1999,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",1.8
1999,manufacturing,rubber and plastic products,"clerical, sales and services workers",2.4
1999,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",2.9
1999,manufacturing,fabricated metal products,total,2.3
1999,manufacturing,fabricated metal products,"professional, managers, executive and technicians",1.7
1999,manufacturing,fabricated metal products,"clerical, sales and services workers",2.4
1999,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",2.5
1999,manufacturing,machinery and equipment,total,1.8
1999,manufacturing,machinery and equipment,"professional, managers, executive and technicians",1.5
1999,manufacturing,machinery and equipment,"clerical, sales and services workers",1.6
1999,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",1.9
1999,manufacturing,electrical products,total,1.9
1999,manufacturing,electrical products,"professional, managers, executive and technicians",1.4
1999,manufacturing,electrical products,"clerical, sales and services workers",1.4
1999,manufacturing,electrical products,"production and transport operators, cleaners and labourers",2.2
1999,manufacturing,electronic products,total,2
1999,manufacturing,electronic products,"professional, managers, executive and technicians",1.5
1999,manufacturing,electronic products,"clerical, sales and services workers",1.8
1999,manufacturing,electronic products,"production and transport operators, cleaners and labourers",2.2
1999,manufacturing,medical and precision instruments,total,1.7
1999,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",1.4
1999,manufacturing,medical and precision instruments,"clerical, sales and services workers",1
1999,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",1.9
1999,manufacturing,transport equipment,total,1.4
1999,manufacturing,transport equipment,"professional, managers, executive and technicians",1.1
1999,manufacturing,transport equipment,"clerical, sales and services workers",1.2
1999,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1.5
1999,manufacturing,other manufacturing industries,total,1.7
1999,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.4
1999,manufacturing,other manufacturing industries,"clerical, sales and services workers",2.5
1999,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1.6
1999,construction,construction,total,2.2
1999,construction,construction,"professional, managers, executive and technicians",1.9
1999,construction,construction,"clerical, sales and services workers",2.3
1999,construction,construction,"production and transport operators, cleaners and labourers",2.2
1999,services,wholesale and retail trade,total,2.8
1999,services,wholesale and retail trade,"professional, managers, executive and technicians",1.5
1999,services,wholesale and retail trade,"clerical, sales and services workers",4.1
1999,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",2
1999,services,hotels and restaurants,total,4.2
1999,services,hotels and restaurants,"professional, managers, executive and technicians",2.7
1999,services,hotels and restaurants,"clerical, sales and services workers",4.5
1999,services,hotels and restaurants,"production and transport operators, cleaners and labourers",3.7
1999,services,"transport, storage and communications",total,1.3
1999,services,"transport, storage and communications","professional, managers, executive and technicians",1
1999,services,"transport, storage and communications","clerical, sales and services workers",1.4
1999,services,"transport, storage and communications","production and transport operators, cleaners and labourers",1.5
1999,services,financial intermediation,total,1.4
1999,services,financial intermediation,"professional, managers, executive and technicians",1.4
1999,services,financial intermediation,"clerical, sales and services workers",1.5
1999,services,financial intermediation,"production and transport operators, cleaners and labourers",1
1999,services,business and real estate services,total,2.9
1999,services,business and real estate services,"professional, managers, executive and technicians",2.1
1999,services,business and real estate services,"clerical, sales and services workers",3.9
1999,services,business and real estate services,"production and transport operators, cleaners and labourers",3.5
1999,services,"community, social and personal services",total,2.1
1999,services,"community, social and personal services","professional, managers, executive and technicians",1.7
1999,services,"community, social and personal services","clerical, sales and services workers",2.4
1999,services,"community, social and personal services","production and transport operators, cleaners and labourers",3.1
1999,others,others,total,1.1
1999,others,others,"professional, managers, executive and technicians",1
1999,others,others,"clerical, sales and services workers",1.6
1999,others,others,"production and transport operators, cleaners and labourers",1.3
2000,total,total,total,2.5
2000,total,total,"professional, managers, executive and technicians",2
2000,total,total,"clerical, sales and services workers",3.5
2000,total,total,"production and transport operators, cleaners and labourers",2.2
2000,manufacturing,"food, beverages and tobacco",total,2.9
2000,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.9
2000,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",3.6
2000,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.9
2000,manufacturing,paper products and printing,total,2.5
2000,manufacturing,paper products and printing,"professional, managers, executive and technicians",2.6
2000,manufacturing,paper products and printing,"clerical, sales and services workers",3.3
2000,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",2.4
2000,manufacturing,"petroleum, chemical and pharmaceutical products",total,1.2
2000,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",1.1
2000,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1.4
2000,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1.2
2000,manufacturing,rubber and plastic products,total,2.9
2000,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",2.3
2000,manufacturing,rubber and plastic products,"clerical, sales and services workers",2.7
2000,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",3.1
2000,manufacturing,fabricated metal products,total,2.3
2000,manufacturing,fabricated metal products,"professional, managers, executive and technicians",1.9
2000,manufacturing,fabricated metal products,"clerical, sales and services workers",2.9
2000,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",2.4
2000,manufacturing,machinery and equipment,total,2.1
2000,manufacturing,machinery and equipment,"professional, managers, executive and technicians",1.8
2000,manufacturing,machinery and equipment,"clerical, sales and services workers",2.5
2000,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",2.2
2000,manufacturing,electrical products,total,2
2000,manufacturing,electrical products,"professional, managers, executive and technicians",2.4
2000,manufacturing,electrical products,"clerical, sales and services workers",2.3
2000,manufacturing,electrical products,"production and transport operators, cleaners and labourers",1.8
2000,manufacturing,electronic products,total,2.2
2000,manufacturing,electronic products,"professional, managers, executive and technicians",2.1
2000,manufacturing,electronic products,"clerical, sales and services workers",2.3
2000,manufacturing,electronic products,"production and transport operators, cleaners and labourers",2.3
2000,manufacturing,medical and precision instruments,total,2.2
2000,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",2.1
2000,manufacturing,medical and precision instruments,"clerical, sales and services workers",2.5
2000,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",2.1
2000,manufacturing,transport equipment,total,1.5
2000,manufacturing,transport equipment,"professional, managers, executive and technicians",1.2
2000,manufacturing,transport equipment,"clerical, sales and services workers",2.1
2000,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1.6
2000,manufacturing,other manufacturing industries,total,2
2000,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.5
2000,manufacturing,other manufacturing industries,"clerical, sales and services workers",2.9
2000,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1.9
2000,construction,construction,total,2.2
2000,construction,construction,"professional, managers, executive and technicians",2.2
2000,construction,construction,"clerical, sales and services workers",2.8
2000,construction,construction,"production and transport operators, cleaners and labourers",2.1
2000,services,wholesale and retail trade,total,3.2
2000,services,wholesale and retail trade,"professional, managers, executive and technicians",1.9
2000,services,wholesale and retail trade,"clerical, sales and services workers",4.8
2000,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",2.1
2000,services,transport and storage,total,1.5
2000,services,transport and storage,"professional, managers, executive and technicians",1.4
2000,services,transport and storage,"clerical, sales and services workers",1.5
2000,services,transport and storage,"production and transport operators, cleaners and labourers",1.6
2000,services,hotels and restaurants,total,4.5
2000,services,hotels and restaurants,"professional, managers, executive and technicians",2.8
2000,services,hotels and restaurants,"clerical, sales and services workers",4.9
2000,services,hotels and restaurants,"production and transport operators, cleaners and labourers",3.6
2000,services,information and communications,total,2.9
2000,services,information and communications,"professional, managers, executive and technicians",2.9
2000,services,information and communications,"clerical, sales and services workers",2.6
2000,services,information and communications,"production and transport operators, cleaners and labourers",3.2
2000,services,financial services,total,1.9
2000,services,financial services,"professional, managers, executive and technicians",1.8
2000,services,financial services,"clerical, sales and services workers",2.1
2000,services,financial services,"production and transport operators, cleaners and labourers",1.4
2000,services,real estate and leasing services,total,3.7
2000,services,real estate and leasing services,"professional, managers, executive and technicians",2.1
2000,services,real estate and leasing services,"clerical, sales and services workers",4.8
2000,services,real estate and leasing services,"production and transport operators, cleaners and labourers",3.8
2000,services,professional services,total,2.5
2000,services,professional services,"professional, managers, executive and technicians",2.3
2000,services,professional services,"clerical, sales and services workers",2.9
2000,services,professional services,"production and transport operators, cleaners and labourers",2.6
2000,services,administrative and support services,total,4.9
2000,services,administrative and support services,"professional, managers, executive and technicians",2.7
2000,services,administrative and support services,"clerical, sales and services workers",6.2
2000,services,administrative and support services,"production and transport operators, cleaners and labourers",3.6
2000,services,"community, social and personal services",total,2.3
2000,services,"community, social and personal services","professional, managers, executive and technicians",2
2000,services,"community, social and personal services","clerical, sales and services workers",2.8
2000,services,"community, social and personal services","production and transport operators, cleaners and labourers",2.1
2000,others,others,total,2.5
2000,others,others,"professional, managers, executive and technicians",0.6
2000,others,others,"clerical, sales and services workers",1
2000,others,others,"production and transport operators, cleaners and labourers",3.7
2001,total,total,total,2.2
2001,total,total,"professional, managers, executive and technicians",1.5
2001,total,total,"clerical, sales and services workers",3.1
2001,total,total,"production and transport operators, cleaners and labourers",2.2
2001,manufacturing,"food, beverages and tobacco",total,2.3
2001,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.3
2001,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",3.1
2001,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.3
2001,manufacturing,paper products and printing,total,2.2
2001,manufacturing,paper products and printing,"professional, managers, executive and technicians",1.8
2001,manufacturing,paper products and printing,"clerical, sales and services workers",2.9
2001,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",2.1
2001,manufacturing,"petroleum, chemical and pharmaceutical products",total,1
2001,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.9
2001,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1.2
2001,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1.1
2001,manufacturing,rubber and plastic products,total,2.5
2001,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",1.8
2001,manufacturing,rubber and plastic products,"clerical, sales and services workers",2.9
2001,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",2.6
2001,manufacturing,fabricated metal products,total,2.5
2001,manufacturing,fabricated metal products,"professional, managers, executive and technicians",1.9
2001,manufacturing,fabricated metal products,"clerical, sales and services workers",2.6
2001,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",2.6
2001,manufacturing,machinery and equipment,total,1.6
2001,manufacturing,machinery and equipment,"professional, managers, executive and technicians",1.4
2001,manufacturing,machinery and equipment,"clerical, sales and services workers",1.9
2001,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",1.7
2001,manufacturing,electrical products,total,1.7
2001,manufacturing,electrical products,"professional, managers, executive and technicians",1.5
2001,manufacturing,electrical products,"clerical, sales and services workers",2.6
2001,manufacturing,electrical products,"production and transport operators, cleaners and labourers",1.6
2001,manufacturing,electronic products,total,1.7
2001,manufacturing,electronic products,"professional, managers, executive and technicians",1.3
2001,manufacturing,electronic products,"clerical, sales and services workers",1.5
2001,manufacturing,electronic products,"production and transport operators, cleaners and labourers",1.9
2001,manufacturing,medical and precision instruments,total,1.4
2001,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",1.3
2001,manufacturing,medical and precision instruments,"clerical, sales and services workers",1.6
2001,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",1.4
2001,manufacturing,transport equipment,total,1.1
2001,manufacturing,transport equipment,"professional, managers, executive and technicians",0.9
2001,manufacturing,transport equipment,"clerical, sales and services workers",1.6
2001,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1.1
2001,manufacturing,other manufacturing industries,total,1.9
2001,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.1
2001,manufacturing,other manufacturing industries,"clerical, sales and services workers",1.8
2001,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",2.1
2001,construction,construction,total,2.4
2001,construction,construction,"professional, managers, executive and technicians",1.8
2001,construction,construction,"clerical, sales and services workers",2.7
2001,construction,construction,"production and transport operators, cleaners and labourers",2.5
2001,services,wholesale and retail trade,total,2.9
2001,services,wholesale and retail trade,"professional, managers, executive and technicians",1.4
2001,services,wholesale and retail trade,"clerical, sales and services workers",4.4
2001,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",2.2
2001,services,transport and storage,total,1.3
2001,services,transport and storage,"professional, managers, executive and technicians",1.2
2001,services,transport and storage,"clerical, sales and services workers",1.2
2001,services,transport and storage,"production and transport operators, cleaners and labourers",1.5
2001,services,hotels and restaurants,total,4.4
2001,services,hotels and restaurants,"professional, managers, executive and technicians",2.4
2001,services,hotels and restaurants,"clerical, sales and services workers",5
2001,services,hotels and restaurants,"production and transport operators, cleaners and labourers",3.4
2001,services,information and communications,total,2.1
2001,services,information and communications,"professional, managers, executive and technicians",2
2001,services,information and communications,"clerical, sales and services workers",2.2
2001,services,information and communications,"production and transport operators, cleaners and labourers",2.4
2001,services,financial services,total,1.4
2001,services,financial services,"professional, managers, executive and technicians",1.3
2001,services,financial services,"clerical, sales and services workers",1.8
2001,services,financial services,"production and transport operators, cleaners and labourers",1.2
2001,services,real estate and leasing services,total,3.5
2001,services,real estate and leasing services,"professional, managers, executive and technicians",1.8
2001,services,real estate and leasing services,"clerical, sales and services workers",3.7
2001,services,real estate and leasing services,"production and transport operators, cleaners and labourers",4.1
2001,services,professional services,total,2.1
2001,services,professional services,"professional, managers, executive and technicians",1.8
2001,services,professional services,"clerical, sales and services workers",2.7
2001,services,professional services,"production and transport operators, cleaners and labourers",2.6
2001,services,administrative and support services,total,4.5
2001,services,administrative and support services,"professional, managers, executive and technicians",2.6
2001,services,administrative and support services,"clerical, sales and services workers",5.5
2001,services,administrative and support services,"production and transport operators, cleaners and labourers",3.7
2001,services,"community, social and personal services",total,2
2001,services,"community, social and personal services","professional, managers, executive and technicians",1.7
2001,services,"community, social and personal services","clerical, sales and services workers",2.3
2001,services,"community, social and personal services","production and transport operators, cleaners and labourers",2.4
2001,others,others,total,3
2001,others,others,"professional, managers, executive and technicians",0.7
2001,others,others,"clerical, sales and services workers",1.3
2001,others,others,"production and transport operators, cleaners and labourers",4.3
2002,total,total,total,2.1
2002,total,total,"professional, managers, executive and technicians",1.4
2002,total,total,"clerical, sales and services workers",2.8
2002,total,total,"production and transport operators, cleaners and labourers",2.1
2002,manufacturing,"food, beverages and tobacco",total,2
2002,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.3
2002,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",2.4
2002,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2
2002,manufacturing,paper products and printing,total,1.9
2002,manufacturing,paper products and printing,"professional, managers, executive and technicians",1.3
2002,manufacturing,paper products and printing,"clerical, sales and services workers",2.7
2002,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",1.9
2002,manufacturing,"petroleum, chemical and pharmaceutical products",total,0.8
2002,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.7
2002,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",1
2002,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",0.8
2002,manufacturing,rubber and plastic products,total,2.5
2002,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",1.9
2002,manufacturing,rubber and plastic products,"clerical, sales and services workers",2.2
2002,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",2.7
2002,manufacturing,fabricated metal products,total,2.5
2002,manufacturing,fabricated metal products,"professional, managers, executive and technicians",1.8
2002,manufacturing,fabricated metal products,"clerical, sales and services workers",2.7
2002,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",2.7
2002,manufacturing,machinery and equipment,total,1.7
2002,manufacturing,machinery and equipment,"professional, managers, executive and technicians",1.3
2002,manufacturing,machinery and equipment,"clerical, sales and services workers",1.4
2002,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",2
2002,manufacturing,electrical products,total,1.2
2002,manufacturing,electrical products,"professional, managers, executive and technicians",1.1
2002,manufacturing,electrical products,"clerical, sales and services workers",1.2
2002,manufacturing,electrical products,"production and transport operators, cleaners and labourers",1.2
2002,manufacturing,electronic products,total,1.7
2002,manufacturing,electronic products,"professional, managers, executive and technicians",1
2002,manufacturing,electronic products,"clerical, sales and services workers",1.3
2002,manufacturing,electronic products,"production and transport operators, cleaners and labourers",2.3
2002,manufacturing,medical and precision instruments,total,1.3
2002,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",1.1
2002,manufacturing,medical and precision instruments,"clerical, sales and services workers",1
2002,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",1.5
2002,manufacturing,transport equipment,total,1.1
2002,manufacturing,transport equipment,"professional, managers, executive and technicians",0.9
2002,manufacturing,transport equipment,"clerical, sales and services workers",1.2
2002,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",1.1
2002,manufacturing,other manufacturing industries,total,1.7
2002,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",1.2
2002,manufacturing,other manufacturing industries,"clerical, sales and services workers",1.6
2002,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1.8
2002,construction,construction,total,2.1
2002,construction,construction,"professional, managers, executive and technicians",2
2002,construction,construction,"clerical, sales and services workers",2.7
2002,construction,construction,"production and transport operators, cleaners and labourers",2.1
2002,services,wholesale and retail trade,total,2.4
2002,services,wholesale and retail trade,"professional, managers, executive and technicians",1.2
2002,services,wholesale and retail trade,"clerical, sales and services workers",3.7
2002,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",2
2002,services,transport and storage,total,1.2
2002,services,transport and storage,"professional, managers, executive and technicians",1
2002,services,transport and storage,"clerical, sales and services workers",1
2002,services,transport and storage,"production and transport operators, cleaners and labourers",1.5
2002,services,hotels and restaurants,total,4.6
2002,services,hotels and restaurants,"professional, managers, executive and technicians",2.5
2002,services,hotels and restaurants,"clerical, sales and services workers",5.1
2002,services,hotels and restaurants,"production and transport operators, cleaners and labourers",4.5
2002,services,information and communications,total,1.7
2002,services,information and communications,"professional, managers, executive and technicians",1.6
2002,services,information and communications,"clerical, sales and services workers",1.9
2002,services,information and communications,"production and transport operators, cleaners and labourers",1.6
2002,services,financial services,total,1.2
2002,services,financial services,"professional, managers, executive and technicians",1.1
2002,services,financial services,"clerical, sales and services workers",1.3
2002,services,financial services,"production and transport operators, cleaners and labourers",1.6
2002,services,real estate and leasing services,total,3.6
2002,services,real estate and leasing services,"professional, managers, executive and technicians",1.9
2002,services,real estate and leasing services,"clerical, sales and services workers",3.3
2002,services,real estate and leasing services,"production and transport operators, cleaners and labourers",4.3
2002,services,professional services,total,2
2002,services,professional services,"professional, managers, executive and technicians",1.8
2002,services,professional services,"clerical, sales and services workers",2.3
2002,services,professional services,"production and transport operators, cleaners and labourers",2.4
2002,services,administrative and support services,total,4
2002,services,administrative and support services,"professional, managers, executive and technicians",2.5
2002,services,administrative and support services,"clerical, sales and services workers",4.6
2002,services,administrative and support services,"production and transport operators, cleaners and labourers",3.8
2002,services,"community, social and personal services",total,1.9
2002,services,"community, social and personal services","professional, managers, executive and technicians",1.7
2002,services,"community, social and personal services","clerical, sales and services workers",2.1
2002,services,"community, social and personal services","production and transport operators, cleaners and labourers",2.1
2002,others,others,total,3
2002,others,others,"professional, managers, executive and technicians",0.7
2002,others,others,"clerical, sales and services workers",1
2002,others,others,"production and transport operators, cleaners and labourers",4.7
2003,total,total,total,2
2003,total,total,"professional, managers, executive and technicians",1.3
2003,total,total,"clerical, sales and services workers",2.9
2003,total,total,"production and transport operators, cleaners and labourers",2.1
2003,manufacturing,"food, beverages and tobacco",total,2.6
2003,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",1.4
2003,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",3
2003,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2.8
2003,manufacturing,paper products and printing,total,1.6
2003,manufacturing,paper products and printing,"professional, managers, executive and technicians",1.3
2003,manufacturing,paper products and printing,"clerical, sales and services workers",1.9
2003,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",1.6
2003,manufacturing,"petroleum, chemical and pharmaceutical products",total,0.7
2003,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",0.7
2003,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",0.6
2003,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",0.8
2003,manufacturing,rubber and plastic products,total,2.6
2003,manufacturing,rubber and plastic products,"professional, managers, executive and technicians",1.8
2003,manufacturing,rubber and plastic products,"clerical, sales and services workers",1.9
2003,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",2.8
2003,manufacturing,fabricated metal products,total,2
2003,manufacturing,fabricated metal products,"professional, managers, executive and technicians",1.6
2003,manufacturing,fabricated metal products,"clerical, sales and services workers",1.8
2003,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",2.1
2003,manufacturing,machinery and equipment,total,1.6
2003,manufacturing,machinery and equipment,"professional, managers, executive and technicians",1.4
2003,manufacturing,machinery and equipment,"clerical, sales and services workers",1.7
