quarter,industry1,occupation1,resignation_rate
1998-Q4,total,"professional, managers, executive and technicians",1.1
1998-Q4,total,"clerical, sales and services workers",2.2
1998-Q4,total,"production and transport operators, cleaners and labourers",1.8
1998-Q4,manufacturing,total,1.3
1998-Q4,manufacturing,"professional, managers, executive and technicians",0.9
1998-Q4,manufacturing,"clerical, sales and services workers",1.4
1998-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.4
1998-Q4,construction,total,2.2
1998-Q4,construction,"professional, managers, executive and technicians",1.4
1998-Q4,construction,"clerical, sales and services workers",2.6
1998-Q4,construction,"production and transport operators, cleaners and labourers",2.3
1998-Q4,services,total,1.8
1998-Q4,services,"professional, managers, executive and technicians",1.1
1998-Q4,services,"clerical, sales and services workers",2.4
1998-Q4,services,"production and transport operators, cleaners and labourers",1.7
1998-Q4,others,total,1.3
1998-Q4,others,"professional, managers, executive and technicians",1.8
1998-Q4,others,"clerical, sales and services workers",1.5
1998-Q4,others,"production and transport operators, cleaners and labourers",1.2
1999-Q1,total,total,2
1999-Q1,total,"professional, managers, executive and technicians",1.3
1999-Q1,total,"clerical, sales and services workers",2.8
1999-Q1,total,"production and transport operators, cleaners and labourers",2.1
1999-Q1,manufacturing,total,1.6
1999-Q1,manufacturing,"professional, managers, executive and technicians",1.1
1999-Q1,manufacturing,"clerical, sales and services workers",1.7
1999-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.8
1999-Q1,construction,total,2.2
1999-Q1,construction,"professional, managers, executive and technicians",1.6
1999-Q1,construction,"clerical, sales and services workers",2.1
1999-Q1,construction,"production and transport operators, cleaners and labourers",2.3
1999-Q1,services,total,2.3
1999-Q1,services,"professional, managers, executive and technicians",1.4
1999-Q1,services,"clerical, sales and services workers",3
1999-Q1,services,"production and transport operators, cleaners and labourers",2.3
1999-Q1,others,total,1.6
1999-Q1,others,"professional, managers, executive and technicians",0.6
1999-Q1,others,"clerical, sales and services workers",1.7
1999-Q1,others,"production and transport operators, cleaners and labourers",1.8
1999-Q2,total,total,2.3
1999-Q2,total,"professional, managers, executive and technicians",1.7
1999-Q2,total,"clerical, sales and services workers",3
1999-Q2,total,"production and transport operators, cleaners and labourers",2.3
1999-Q2,manufacturing,total,2.1
1999-Q2,manufacturing,"professional, managers, executive and technicians",1.5
1999-Q2,manufacturing,"clerical, sales and services workers",2.4
1999-Q2,manufacturing,"production and transport operators, cleaners and labourers",2.2
1999-Q2,construction,total,2.2
1999-Q2,construction,"professional, managers, executive and technicians",2.2
1999-Q2,construction,"clerical, sales and services workers",2.4
1999-Q2,construction,"production and transport operators, cleaners and labourers",2.3
1999-Q2,services,total,2.5
1999-Q2,services,"professional, managers, executive and technicians",1.7
1999-Q2,services,"clerical, sales and services workers",3.2
1999-Q2,services,"production and transport operators, cleaners and labourers",2.4
1999-Q2,others,total,1.4
1999-Q2,others,"professional, managers, executive and technicians",2.8
1999-Q2,others,"clerical, sales and services workers",3.1
1999-Q2,others,"production and transport operators, cleaners and labourers",1
1999-Q3,total,total,2.3
1999-Q3,total,"professional, managers, executive and technicians",1.8
1999-Q3,total,"clerical, sales and services workers",3.1
1999-Q3,total,"production and transport operators, cleaners and labourers",2.2
1999-Q3,manufacturing,total,2
1999-Q3,manufacturing,"professional, managers, executive and technicians",1.7
1999-Q3,manufacturing,"clerical, sales and services workers",2.3
1999-Q3,manufacturing,"production and transport operators, cleaners and labourers",2.1
1999-Q3,construction,total,2.2
1999-Q3,construction,"professional, managers, executive and technicians",2.2
1999-Q3,construction,"clerical, sales and services workers",2.5
1999-Q3,construction,"production and transport operators, cleaners and labourers",2.2
1999-Q3,services,total,2.6
1999-Q3,services,"professional, managers, executive and technicians",1.8
1999-Q3,services,"clerical, sales and services workers",3.3
1999-Q3,services,"production and transport operators, cleaners and labourers",2.5
1999-Q3,others,total,0.7
1999-Q3,others,"professional, managers, executive and technicians",0.4
1999-Q3,others,"clerical, sales and services workers",0.5
1999-Q3,others,"production and transport operators, cleaners and labourers",1.5
1999-Q4,total,total,2
1999-Q4,total,"professional, managers, executive and technicians",1.5
1999-Q4,total,"clerical, sales and services workers",2.8
1999-Q4,total,"production and transport operators, cleaners and labourers",2
1999-Q4,manufacturing,total,1.9
1999-Q4,manufacturing,"professional, managers, executive and technicians",1.4
1999-Q4,manufacturing,"clerical, sales and services workers",2
1999-Q4,manufacturing,"production and transport operators, cleaners and labourers",2
1999-Q4,construction,total,2
1999-Q4,construction,"professional, managers, executive and technicians",1.6
1999-Q4,construction,"clerical, sales and services workers",2.2
1999-Q4,construction,"production and transport operators, cleaners and labourers",2
1999-Q4,services,total,2.2
1999-Q4,services,"professional, managers, executive and technicians",1.5
1999-Q4,services,"clerical, sales and services workers",3
1999-Q4,services,"production and transport operators, cleaners and labourers",1.9
1999-Q4,others,total,0.6
1999-Q4,others,"professional, managers, executive and technicians",0.2
1999-Q4,others,"clerical, sales and services workers",0.8
1999-Q4,others,"production and transport operators, cleaners and labourers",0.9
2000-Q1,total,total,2.7
2000-Q1,total,"professional, managers, executive and technicians",2
2000-Q1,total,"clerical, sales and services workers",3.8
2000-Q1,total,"production and transport operators, cleaners and labourers",2.4
2000-Q1,manufacturing,total,2.4
2000-Q1,manufacturing,"professional, managers, executive and technicians",1.9
2000-Q1,manufacturing,"clerical, sales and services workers",2.9
2000-Q1,manufacturing,"production and transport operators, cleaners and labourers",2.5
2000-Q1,construction,total,2.1
2000-Q1,construction,"professional, managers, executive and technicians",2.1
2000-Q1,construction,"clerical, sales and services workers",2.6
2000-Q1,construction,"production and transport operators, cleaners and labourers",2.1
2000-Q1,services,total,3
2000-Q1,services,"professional, managers, executive and technicians",2.1
2000-Q1,services,"clerical, sales and services workers",4
2000-Q1,services,"production and transport operators, cleaners and labourers",2.6
2000-Q1,others,total,2.7
2000-Q1,others,"professional, managers, executive and technicians",0.2
2000-Q1,others,"clerical, sales and services workers",0.4
2000-Q1,others,"production and transport operators, cleaners and labourers",4.2
2000-Q2,total,total,2.7
2000-Q2,total,"professional, managers, executive and technicians",2.3
2000-Q2,total,"clerical, sales and services workers",3.8
2000-Q2,total,"production and transport operators, cleaners and labourers",2.3
2000-Q2,manufacturing,total,2.4
2000-Q2,manufacturing,"professional, managers, executive and technicians",2.2
2000-Q2,manufacturing,"clerical, sales and services workers",3
2000-Q2,manufacturing,"production and transport operators, cleaners and labourers",2.3
2000-Q2,construction,total,2.3
2000-Q2,construction,"professional, managers, executive and technicians",2.6
2000-Q2,construction,"clerical, sales and services workers",3
2000-Q2,construction,"production and transport operators, cleaners and labourers",2.2
2000-Q2,services,total,3
2000-Q2,services,"professional, managers, executive and technicians",2.3
2000-Q2,services,"clerical, sales and services workers",3.9
2000-Q2,services,"production and transport operators, cleaners and labourers",2.4
2000-Q2,others,total,3
2000-Q2,others,"professional, managers, executive and technicians",0.5
2000-Q2,others,"clerical, sales and services workers",1.4
2000-Q2,others,"production and transport operators, cleaners and labourers",4.3
2000-Q3,total,total,2.5
2000-Q3,total,"professional, managers, executive and technicians",2.2
2000-Q3,total,"clerical, sales and services workers",3.5
2000-Q3,total,"production and transport operators, cleaners and labourers",2.2
2000-Q3,manufacturing,total,2.1
2000-Q3,manufacturing,"professional, managers, executive and technicians",1.9
2000-Q3,manufacturing,"clerical, sales and services workers",2.5
2000-Q3,manufacturing,"production and transport operators, cleaners and labourers",2.1
2000-Q3,construction,total,2.1
2000-Q3,construction,"professional, managers, executive and technicians",2.4
2000-Q3,construction,"clerical, sales and services workers",2.7
2000-Q3,construction,"production and transport operators, cleaners and labourers",2
2000-Q3,services,total,2.9
2000-Q3,services,"professional, managers, executive and technicians",2.2
2000-Q3,services,"clerical, sales and services workers",3.6
2000-Q3,services,"production and transport operators, cleaners and labourers",2.5
2000-Q3,others,total,2.7
2000-Q3,others,"professional, managers, executive and technicians",0.9
2000-Q3,others,"clerical, sales and services workers",1.3
2000-Q3,others,"production and transport operators, cleaners and labourers",4
2000-Q4,total,total,2
2000-Q4,total,"professional, managers, executive and technicians",1.6
2000-Q4,total,"clerical, sales and services workers",2.9
2000-Q4,total,"production and transport operators, cleaners and labourers",1.8
2000-Q4,manufacturing,total,1.6
2000-Q4,manufacturing,"professional, managers, executive and technicians",1.4
2000-Q4,manufacturing,"clerical, sales and services workers",1.8
2000-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.6
2000-Q4,construction,total,2.2
2000-Q4,construction,"professional, managers, executive and technicians",1.7
2000-Q4,construction,"clerical, sales and services workers",2.7
2000-Q4,construction,"production and transport operators, cleaners and labourers",2.2
2000-Q4,services,total,2.2
2000-Q4,services,"professional, managers, executive and technicians",1.7
2000-Q4,services,"clerical, sales and services workers",3
2000-Q4,services,"production and transport operators, cleaners and labourers",1.7
2000-Q4,others,total,1.7
2000-Q4,others,"professional, managers, executive and technicians",0.7
2000-Q4,others,"clerical, sales and services workers",1
2000-Q4,others,"production and transport operators, cleaners and labourers",2.3
2001-Q1,total,total,2.8
2001-Q1,total,"professional, managers, executive and technicians",1.9
2001-Q1,total,"clerical, sales and services workers",3.8
2001-Q1,total,"production and transport operators, cleaners and labourers",2.7
2001-Q1,manufacturing,total,2.4
2001-Q1,manufacturing,"professional, managers, executive and technicians",1.7
2001-Q1,manufacturing,"clerical, sales and services workers",2.8
2001-Q1,manufacturing,"production and transport operators, cleaners and labourers",2.7
2001-Q1,construction,total,2.7
2001-Q1,construction,"professional, managers, executive and technicians",2.1
2001-Q1,construction,"clerical, sales and services workers",3
2001-Q1,construction,"production and transport operators, cleaners and labourers",2.7
2001-Q1,services,total,2.9
2001-Q1,services,"professional, managers, executive and technicians",2
2001-Q1,services,"clerical, sales and services workers",4
2001-Q1,services,"production and transport operators, cleaners and labourers",2.8
2001-Q1,others,total,3.4
2001-Q1,others,"professional, managers, executive and technicians",1
2001-Q1,others,"clerical, sales and services workers",1.5
2001-Q1,others,"production and transport operators, cleaners and labourers",4.9
2001-Q2,total,total,2.4
2001-Q2,total,"professional, managers, executive and technicians",1.7
2001-Q2,total,"clerical, sales and services workers",3.4
2001-Q2,total,"production and transport operators, cleaners and labourers",2.2
2001-Q2,manufacturing,total,1.8
2001-Q2,manufacturing,"professional, managers, executive and technicians",1.5
2001-Q2,manufacturing,"clerical, sales and services workers",2.5
2001-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.8
2001-Q2,construction,total,2.5
2001-Q2,construction,"professional, managers, executive and technicians",2.1
2001-Q2,construction,"clerical, sales and services workers",2.5
2001-Q2,construction,"production and transport operators, cleaners and labourers",2.5
2001-Q2,services,total,2.6
2001-Q2,services,"professional, managers, executive and technicians",1.8
2001-Q2,services,"clerical, sales and services workers",3.6
2001-Q2,services,"production and transport operators, cleaners and labourers",2.2
2001-Q2,others,total,3.2
2001-Q2,others,"professional, managers, executive and technicians",0.7
2001-Q2,others,"clerical, sales and services workers",1.7
2001-Q2,others,"production and transport operators, cleaners and labourers",4.6
2001-Q3,total,total,2.1
2001-Q3,total,"professional, managers, executive and technicians",1.5
2001-Q3,total,"clerical, sales and services workers",2.9
2001-Q3,total,"production and transport operators, cleaners and labourers",2.1
2001-Q3,manufacturing,total,1.6
2001-Q3,manufacturing,"professional, managers, executive and technicians",1.2
2001-Q3,manufacturing,"clerical, sales and services workers",1.7
2001-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2001-Q3,construction,total,2.4
2001-Q3,construction,"professional, managers, executive and technicians",1.8
2001-Q3,construction,"clerical, sales and services workers",2.9
2001-Q3,construction,"production and transport operators, cleaners and labourers",2.5
2001-Q3,services,total,2.3
2001-Q3,services,"professional, managers, executive and technicians",1.5
2001-Q3,services,"clerical, sales and services workers",3.1
2001-Q3,services,"production and transport operators, cleaners and labourers",2.3
2001-Q3,others,total,2.9
2001-Q3,others,"professional, managers, executive and technicians",0.7
2001-Q3,others,"clerical, sales and services workers",1.5
2001-Q3,others,"production and transport operators, cleaners and labourers",4.3
2001-Q4,total,total,1.7
2001-Q4,total,"professional, managers, executive and technicians",1
2001-Q4,total,"clerical, sales and services workers",2.2
2001-Q4,total,"production and transport operators, cleaners and labourers",1.9
2001-Q4,manufacturing,total,1.2
2001-Q4,manufacturing,"professional, managers, executive and technicians",0.8
2001-Q4,manufacturing,"clerical, sales and services workers",1.1
2001-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.4
2001-Q4,construction,total,2.2
2001-Q4,construction,"professional, managers, executive and technicians",1.4
2001-Q4,construction,"clerical, sales and services workers",2.4
2001-Q4,construction,"production and transport operators, cleaners and labourers",2.3
2001-Q4,services,total,1.8
2001-Q4,services,"professional, managers, executive and technicians",1.1
2001-Q4,services,"clerical, sales and services workers",2.4
2001-Q4,services,"production and transport operators, cleaners and labourers",2.3
2001-Q4,others,total,2.3
2001-Q4,others,"professional, managers, executive and technicians",0.5
2001-Q4,others,"clerical, sales and services workers",0.6
2001-Q4,others,"production and transport operators, cleaners and labourers",3.5
2002-Q1,total,total,2
2002-Q1,total,"professional, managers, executive and technicians",1.3
2002-Q1,total,"clerical, sales and services workers",2.7
2002-Q1,total,"production and transport operators, cleaners and labourers",2.1
2002-Q1,manufacturing,total,1.5
2002-Q1,manufacturing,"professional, managers, executive and technicians",1
2002-Q1,manufacturing,"clerical, sales and services workers",1.4
2002-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.8
2002-Q1,construction,total,2.1
2002-Q1,construction,"professional, managers, executive and technicians",1.9
2002-Q1,construction,"clerical, sales and services workers",2.5
2002-Q1,construction,"production and transport operators, cleaners and labourers",2.1
2002-Q1,services,total,2.1
2002-Q1,services,"professional, managers, executive and technicians",1.4
2002-Q1,services,"clerical, sales and services workers",2.9
2002-Q1,services,"production and transport operators, cleaners and labourers",2.4
2002-Q1,others,total,2.4
2002-Q1,others,"professional, managers, executive and technicians",0.5
2002-Q1,others,"clerical, sales and services workers",1
2002-Q1,others,"production and transport operators, cleaners and labourers",3.6
2002-Q2,total,total,2.2
2002-Q2,total,"professional, managers, executive and technicians",1.6
2002-Q2,total,"clerical, sales and services workers",2.9
2002-Q2,total,"production and transport operators, cleaners and labourers",2.2
2002-Q2,manufacturing,total,1.8
2002-Q2,manufacturing,"professional, managers, executive and technicians",1.3
2002-Q2,manufacturing,"clerical, sales and services workers",2
2002-Q2,manufacturing,"production and transport operators, cleaners and labourers",2
2002-Q2,construction,total,2.2
2002-Q2,construction,"professional, managers, executive and technicians",2.2
2002-Q2,construction,"clerical, sales and services workers",2.5
2002-Q2,construction,"production and transport operators, cleaners and labourers",2.1
2002-Q2,services,total,2.4
2002-Q2,services,"professional, managers, executive and technicians",1.6
2002-Q2,services,"clerical, sales and services workers",3
2002-Q2,services,"production and transport operators, cleaners and labourers",2.6
2002-Q2,others,total,2.9
2002-Q2,others,"professional, managers, executive and technicians",0.9
2002-Q2,others,"clerical, sales and services workers",0.7
2002-Q2,others,"production and transport operators, cleaners and labourers",4.4
2002-Q3,total,total,2.2
2002-Q3,total,"professional, managers, executive and technicians",1.5
2002-Q3,total,"clerical, sales and services workers",3
2002-Q3,total,"production and transport operators, cleaners and labourers",2.2
2002-Q3,manufacturing,total,1.8
2002-Q3,manufacturing,"professional, managers, executive and technicians",1.2
2002-Q3,manufacturing,"clerical, sales and services workers",2
2002-Q3,manufacturing,"production and transport operators, cleaners and labourers",2
2002-Q3,construction,total,2
2002-Q3,construction,"professional, managers, executive and technicians",2
2002-Q3,construction,"clerical, sales and services workers",2.7
2002-Q3,construction,"production and transport operators, cleaners and labourers",1.9
2002-Q3,services,total,2.4
2002-Q3,services,"professional, managers, executive and technicians",1.6
2002-Q3,services,"clerical, sales and services workers",3.2
2002-Q3,services,"production and transport operators, cleaners and labourers",2.7
2002-Q3,others,total,3.7
2002-Q3,others,"professional, managers, executive and technicians",1.1
2002-Q3,others,"clerical, sales and services workers",0.7
2002-Q3,others,"production and transport operators, cleaners and labourers",5.6
2002-Q4,total,total,1.9
2002-Q4,total,"professional, managers, executive and technicians",1.2
2002-Q4,total,"clerical, sales and services workers",2.6
2002-Q4,total,"production and transport operators, cleaners and labourers",2.1
2002-Q4,manufacturing,total,1.5
2002-Q4,manufacturing,"professional, managers, executive and technicians",0.9
2002-Q4,manufacturing,"clerical, sales and services workers",1.3
2002-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.8
2002-Q4,construction,total,2.3
2002-Q4,construction,"professional, managers, executive and technicians",1.9
2002-Q4,construction,"clerical, sales and services workers",3.1
2002-Q4,construction,"production and transport operators, cleaners and labourers",2.2
2002-Q4,services,total,2
2002-Q4,services,"professional, managers, executive and technicians",1.2
2002-Q4,services,"clerical, sales and services workers",2.7
2002-Q4,services,"production and transport operators, cleaners and labourers",2.2
2002-Q4,others,total,3.1
2002-Q4,others,"professional, managers, executive and technicians",0.3
2002-Q4,others,"clerical, sales and services workers",1.4
2002-Q4,others,"production and transport operators, cleaners and labourers",5.1
2003-Q1,total,total,2.2
2003-Q1,total,"professional, managers, executive and technicians",1.3
2003-Q1,total,"clerical, sales and services workers",3.1
2003-Q1,total,"production and transport operators, cleaners and labourers",2.3
2003-Q1,manufacturing,total,1.8
2003-Q1,manufacturing,"professional, managers, executive and technicians",1.1
2003-Q1,manufacturing,"clerical, sales and services workers",1.6
2003-Q1,manufacturing,"production and transport operators, cleaners and labourers",2.1
2003-Q1,construction,total,2.2
2003-Q1,construction,"professional, managers, executive and technicians",2
2003-Q1,construction,"clerical, sales and services workers",2.7
2003-Q1,construction,"production and transport operators, cleaners and labourers",2.2
2003-Q1,services,total,2.4
2003-Q1,services,"professional, managers, executive and technicians",1.4
2003-Q1,services,"clerical, sales and services workers",3.3
2003-Q1,services,"production and transport operators, cleaners and labourers",2.6
2003-Q1,others,total,2.3
2003-Q1,others,"professional, managers, executive and technicians",0.6
2003-Q1,others,"clerical, sales and services workers",0.6
2003-Q1,others,"production and transport operators, cleaners and labourers",3.7
2003-Q2,total,total,2.1
2003-Q2,total,"professional, managers, executive and technicians",1.4
2003-Q2,total,"clerical, sales and services workers",3
2003-Q2,total,"production and transport operators, cleaners and labourers",2.3
2003-Q2,manufacturing,total,1.7
2003-Q2,manufacturing,"professional, managers, executive and technicians",1.2
2003-Q2,manufacturing,"clerical, sales and services workers",1.9
2003-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.9
2003-Q2,construction,total,2.4
2003-Q2,construction,"professional, managers, executive and technicians",2.2
2003-Q2,construction,"clerical, sales and services workers",3.1
2003-Q2,construction,"production and transport operators, cleaners and labourers",2.4
2003-Q2,services,total,2.3
2003-Q2,services,"professional, managers, executive and technicians",1.5
2003-Q2,services,"clerical, sales and services workers",3.1
2003-Q2,services,"production and transport operators, cleaners and labourers",2.5
2003-Q2,others,total,3.2
2003-Q2,others,"professional, managers, executive and technicians",0.8
2003-Q2,others,"clerical, sales and services workers",0.7
2003-Q2,others,"production and transport operators, cleaners and labourers",5
2003-Q3,total,total,2
2003-Q3,total,"professional, managers, executive and technicians",1.4
2003-Q3,total,"clerical, sales and services workers",2.9
2003-Q3,total,"production and transport operators, cleaners and labourers",2
2003-Q3,manufacturing,total,1.5
2003-Q3,manufacturing,"professional, managers, executive and technicians",1.1
2003-Q3,manufacturing,"clerical, sales and services workers",1.7
2003-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.6
2003-Q3,construction,total,1.9
2003-Q3,construction,"professional, managers, executive and technicians",1.8
2003-Q3,construction,"clerical, sales and services workers",2
2003-Q3,construction,"production and transport operators, cleaners and labourers",1.9
2003-Q3,services,total,2.4
2003-Q3,services,"professional, managers, executive and technicians",1.5
2003-Q3,services,"clerical, sales and services workers",3.2
2003-Q3,services,"production and transport operators, cleaners and labourers",2.7
2003-Q3,others,total,2.9
2003-Q3,others,"professional, managers, executive and technicians",0.8
2003-Q3,others,"clerical, sales and services workers",1
2003-Q3,others,"production and transport operators, cleaners and labourers",4.4
2003-Q4,total,total,1.8
2003-Q4,total,"professional, managers, executive and technicians",1.1
2003-Q4,total,"clerical, sales and services workers",2.7
2003-Q4,total,"production and transport operators, cleaners and labourers",1.8
2003-Q4,manufacturing,total,1.2
2003-Q4,manufacturing,"professional, managers, executive and technicians",0.8
2003-Q4,manufacturing,"clerical, sales and services workers",1.7
2003-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.3
2003-Q4,construction,total,1.7
2003-Q4,construction,"professional, managers, executive and technicians",1.5
2003-Q4,construction,"clerical, sales and services workers",1.5
2003-Q4,construction,"production and transport operators, cleaners and labourers",1.8
2003-Q4,services,total,2.1
2003-Q4,services,"professional, managers, executive and technicians",1.2
2003-Q4,services,"clerical, sales and services workers",2.9
2003-Q4,services,"production and transport operators, cleaners and labourers",2.4
2003-Q4,others,total,3
2003-Q4,others,"professional, managers, executive and technicians",0.6
2003-Q4,others,"clerical, sales and services workers",1.4
2003-Q4,others,"production and transport operators, cleaners and labourers",4.6
2004-Q1,total,total,2.3
2004-Q1,total,"professional, managers, executive and technicians",1.5
2004-Q1,total,"clerical, sales and services workers",3.5
2004-Q1,total,"production and transport operators, cleaners and labourers",2.3
2004-Q1,manufacturing,total,2
2004-Q1,manufacturing,"professional, managers, executive and technicians",1.2
2004-Q1,manufacturing,"clerical, sales and services workers",2.4
2004-Q1,manufacturing,"production and transport operators, cleaners and labourers",2.2
2004-Q1,construction,total,2
2004-Q1,construction,"professional, managers, executive and technicians",2
2004-Q1,construction,"clerical, sales and services workers",2.7
2004-Q1,construction,"production and transport operators, cleaners and labourers",1.9
2004-Q1,services,total,2.6
2004-Q1,services,"professional, managers, executive and technicians",1.6
2004-Q1,services,"clerical, sales and services workers",3.7
2004-Q1,services,"production and transport operators, cleaners and labourers",2.6
2004-Q1,others,total,2.5
2004-Q1,others,"professional, managers, executive and technicians",0.6
2004-Q1,others,"clerical, sales and services workers",1.7
2004-Q1,others,"production and transport operators, cleaners and labourers",3.6
2004-Q2,total,total,2.3
2004-Q2,total,"professional, managers, executive and technicians",1.8
2004-Q2,total,"clerical, sales and services workers",3.1
2004-Q2,total,"production and transport operators, cleaners and labourers",2.2
2004-Q2,manufacturing,total,1.9
2004-Q2,manufacturing,"professional, managers, executive and technicians",1.5
2004-Q2,manufacturing,"clerical, sales and services workers",2.5
2004-Q2,manufacturing,"production and transport operators, cleaners and labourers",2
2004-Q2,construction,total,1.9
2004-Q2,construction,"professional, managers, executive and technicians",2.3
2004-Q2,construction,"clerical, sales and services workers",2.3
2004-Q2,construction,"production and transport operators, cleaners and labourers",1.7
2004-Q2,services,total,2.6
2004-Q2,services,"professional, managers, executive and technicians",1.8
2004-Q2,services,"clerical, sales and services workers",3.3
2004-Q2,services,"production and transport operators, cleaners and labourers",2.8
2004-Q2,others,total,2.9
2004-Q2,others,"professional, managers, executive and technicians",0.7
2004-Q2,others,"clerical, sales and services workers",1.5
2004-Q2,others,"production and transport operators, cleaners and labourers",4.4
2004-Q3,total,total,2.2
2004-Q3,total,"professional, managers, executive and technicians",1.7
2004-Q3,total,"clerical, sales and services workers",3
2004-Q3,total,"production and transport operators, cleaners and labourers",2.1
2004-Q3,manufacturing,total,1.7
2004-Q3,manufacturing,"professional, managers, executive and technicians",1.4
2004-Q3,manufacturing,"clerical, sales and services workers",2
2004-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.8
2004-Q3,construction,total,1.8
2004-Q3,construction,"professional, managers, executive and technicians",1.9
2004-Q3,construction,"clerical, sales and services workers",2.1
2004-Q3,construction,"production and transport operators, cleaners and labourers",1.8
2004-Q3,services,total,2.5
2004-Q3,services,"professional, managers, executive and technicians",1.8
2004-Q3,services,"clerical, sales and services workers",3.2
2004-Q3,services,"production and transport operators, cleaners and labourers",2.7
2004-Q3,others,total,3.4
2004-Q3,others,"professional, managers, executive and technicians",1
2004-Q3,others,"clerical, sales and services workers",1.3
2004-Q3,others,"production and transport operators, cleaners and labourers",5
2004-Q4,total,total,1.9
2004-Q4,total,"professional, managers, executive and technicians",1.4
2004-Q4,total,"clerical, sales and services workers",2.7
2004-Q4,total,"production and transport operators, cleaners and labourers",1.8
2004-Q4,manufacturing,total,1.2
2004-Q4,manufacturing,"professional, managers, executive and technicians",1
2004-Q4,manufacturing,"clerical, sales and services workers",1.4
2004-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.3
2004-Q4,construction,total,1.7
2004-Q4,construction,"professional, managers, executive and technicians",1.3
2004-Q4,construction,"clerical, sales and services workers",1.5
2004-Q4,construction,"production and transport operators, cleaners and labourers",1.8
2004-Q4,services,total,2.2
2004-Q4,services,"professional, managers, executive and technicians",1.5
2004-Q4,services,"clerical, sales and services workers",2.9
2004-Q4,services,"production and transport operators, cleaners and labourers",2.5
2004-Q4,others,total,2.8
2004-Q4,others,"professional, managers, executive and technicians",0.9
